kommune;kommune_nr;kommune_navn;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf
1711 Meråker;1711;Meråker;78;21;57;:;57;100;26,9;73,1;       :;73,1;36;10;26;:;26;100;27,8;72,2;       :;72,2;42;11;31;:;31;100;26,2;73,8;       :;73,8
1714 Stjørdal;1714;Stjørdal;363;132;231;:;231;100;36,4;63,6;       :;63,6;209;85;124;:;124;100;40,7;59,3;       :;59,3;154;47;107;:;107;100;30,5;69,5;       :;69,5
1717 Frosta;1717;Frosta;53;       :;50;:;50;100;       :;94,3;       :;94,3;32;       :;30;:;30;100;       :;93,8;       :;93,8;21;       :;20;:;20;100;       :;95,2;       :;95,2
1718 Leksvik;1718;Leksvik;86;22;64;:;64;100;25,6;74,4;       :;74,4;48;13;35;:;35;100;27,1;72,9;       :;72,9;38;9;29;:;29;100;23,7;76,3;       :;76,3
1719 Levanger;1719;Levanger;360;72;288;:;288;100;20;80;       :;80;180;35;145;:;145;100;19,4;80,6;       :;80,6;180;37;143;:;143;100;20,6;79,4;       :;79,4
1721 Verdal;1721;Verdal;361;117;244;:;244;100;32,4;67,6;       :;67,6;194;58;136;:;136;100;29,9;70,1;       :;70,1;167;59;108;:;108;100;35,3;64,7;       :;64,7
1724 Verran;1724;Verran;73;8;65;:;65;100;11;89;       :;89;41;4;37;:;37;100;9,8;90,2;       :;90,2;32;4;28;:;28;100;12,5;87,5;       :;87,5
1725 Namdalseid;1725;Namdalseid;29;       :;26;:;26;100;       :;89,7;       :;89,7;13;       :;12;:;12;100;       :;92,3;       :;92,3;16;       :;14;:;14;100;       :;87,5;       :;87,5
1736 Snåsa;1736;Snåsa;40;       :;39;       :;38;100;       :;97,5;       :;95;19;:;19;       :;18;100;       :;100;       :;94,7;21;       :;20;:;20;100;       :;95,2;       :;95,2
1738 Lierne;1738;Lierne;19;       :;18;:;18;100;       :;94,7;       :;94,7;8;:;8;:;8;100;       :;100;       :;100;11;       :;10;:;10;100;       :;90,9;       :;90,9
1739 Røyrvik;1739;Røyrvik;7;       :;5;:;5;100;       :;71,4;       :;71,4;4;:;4;:;4;100;       :;100;       :;100;       :;       :;       :;:;       :;100;       :;       :;       :;       :
1740 Namsskogan;1740;Namsskogan;13;:;13;:;13;100;       :;100;       :;100;7;:;7;:;7;100;       :;100;       :;100;6;:;6;:;6;100;       :;100;       :;100
1742 Grong;1742;Grong;84;35;49;:;49;100;41,7;58,3;       :;58,3;44;17;27;:;27;100;38,6;61,4;       :;61,4;40;18;22;:;22;100;45;55;       :;55
1743 Høylandet;1743;Høylandet;8;       :;7;:;7;100;       :;87,5;       :;87,5;4;       :;       :;:;       :;100;       :;       :;       :;       :;4;:;4;:;4;100;       :;100;       :;100
1744 Overhalla;1744;Overhalla;92;17;75;:;75;100;18,5;81,5;       :;81,5;48;10;38;:;38;100;20,8;79,2;       :;79,2;44;7;37;:;37;100;15,9;84,1;       :;84,1
1748 Fosnes;1748;Fosnes;8;:;8;:;8;100;       :;100;       :;100;5;:;5;:;5;100;       :;100;       :;100;       :;:;       :;:;       :;100;       :;       :;       :;       :
1749 Flatanger;1749;Flatanger;31;4;27;:;27;100;12,9;87,1;       :;87,1;13;       :;11;:;11;100;       :;84,6;       :;84,6;18;       :;16;:;16;100;       :;88,9;       :;88,9
1750 Vikna;1750;Vikna;87;12;75;:;75;100;13,8;86,2;       :;86,2;36;6;30;:;30;100;16,7;83,3;       :;83,3;51;6;45;:;45;100;11,8;88,2;       :;88,2
1751 Nærøy;1751;Nærøy;150;30;120;:;120;100;20;80;       :;80;76;18;58;:;58;100;23,7;76,3;       :;76,3;74;12;62;:;62;100;16,2;83,8;       :;83,8
1755 Leka;1755;Leka;12;       :;11;:;11;100;       :;91,7;       :;91,7;5;:;5;:;5;100;       :;100;       :;100;7;       :;6;:;6;100;       :;85,7;       :;85,7
1756 Inderøy (f.o.m. 2012);1756;Inderøy (f.o.m. 2012);111;9;102;:;102;100;8,1;91,9;       :;91,9;52;       :;49;:;49;100;       :;94,2;       :;94,2;59;6;53;:;53;100;10,2;89,8;       :;89,8
1804 Bodø;1804;Bodø;1226;369;857;:;857;100;30,1;69,9;       :;69,9;722;225;497;:;497;100;31,2;68,8;       :;68,8;504;144;360;:;360;100;28,6;71,4;       :;71,4
1805 Narvik;1805;Narvik;504;137;367;:;367;100;27,2;72,8;       :;72,8;293;75;218;:;218;100;25,6;74,4;       :;74,4;211;62;149;:;149;100;29,4;70,6;       :;70,6
1811 Bindal;1811;Bindal;25;       :;22;:;22;100;       :;88;       :;88;16;       :;14;:;14;100;       :;87,5;       :;87,5;9;       :;8;:;8;100;       :;88,9;       :;88,9
1812 Sømna;1812;Sømna;45;21;24;:;24;100;46,7;53,3;       :;53,3;19;7;12;:;12;100;36,8;63,2;       :;63,2;26;14;12;:;12;100;53,8;46,2;       :;46,2
1813 Brønnøy;1813;Brønnøy;236;77;159;:;159;100;32,6;67,4;       :;67,4;116;42;74;:;74;100;36,2;63,8;       :;63,8;120;35;85;:;85;100;29,2;70,8;       :;70,8
1815 Vega;1815;Vega;42;       :;40;:;40;100;       :;95,2;       :;95,2;23;:;23;:;23;100;       :;100;       :;100;19;       :;17;:;17;100;       :;89,5;       :;89,5
1816 Vevelstad;1816;Vevelstad;12;       :;10;:;10;100;       :;83,3;       :;83,3;       :;       :;       :;:;       :;100;       :;       :;       :;       :;9;       :;8;:;8;100;       :;88,9;       :;88,9
1818 Herøy (Nordl.);1818;Herøy (Nordl.);59;21;38;:;38;100;35,6;64,4;       :;64,4;32;11;21;:;21;100;34,4;65,6;       :;65,6;27;10;17;:;17;100;37;63;       :;63
1820 Alstahaug;1820;Alstahaug;173;48;125;:;125;100;27,7;72,3;       :;72,3;94;25;69;:;69;100;26,6;73,4;       :;73,4;79;23;56;:;56;100;29,1;70,9;       :;70,9
1822 Leirfjord;1822;Leirfjord;79;46;33;:;33;100;58,2;41,8;       :;41,8;47;22;25;:;25;100;46,8;53,2;       :;53,2;32;24;8;:;8;100;75;25;       :;25
1824 Vefsn;1824;Vefsn;265;31;234;:;234;100;11,7;88,3;       :;88,3;148;18;130;:;130;100;12,2;87,8;       :;87,8;117;13;104;:;104;100;11,1;88,9;       :;88,9
1825 Grane;1825;Grane;29;       :;27;:;27;100;       :;93,1;       :;93,1;17;       :;15;:;15;100;       :;88,2;       :;88,2;12;:;12;:;12;100;       :;100;       :;100
1826 Hattfjelldal;1826;Hattfjelldal;34;8;26;:;26;100;23,5;76,5;       :;76,5;18;5;13;:;13;100;27,8;72,2;       :;72,2;16;       :;13;:;13;100;       :;81,3;       :;81,3
1827 Dønna;1827;Dønna;45;4;41;:;41;100;8,9;91,1;       :;91,1;23;       :;22;:;22;100;       :;95,7;       :;95,7;22;       :;19;:;19;100;       :;86,4;       :;86,4
1828 Nesna;1828;Nesna;81;31;50;:;50;100;38,3;61,7;       :;61,7;44;19;25;:;25;100;43,2;56,8;       :;56,8;37;12;25;:;25;100;32,4;67,6;       :;67,6
1832 Hemnes;1832;Hemnes;161;37;124;:;124;100;23;77;       :;77;84;19;65;:;65;100;22,6;77,4;       :;77,4;77;18;59;:;59;100;23,4;76,6;       :;76,6
1833 Rana;1833;Rana;677;139;538;:;538;100;20,5;79,5;       :;79,5;366;79;287;:;287;100;21,6;78,4;       :;78,4;311;60;251;:;251;100;19,3;80,7;       :;80,7
1834 Lurøy;1834;Lurøy;40;       :;37;:;37;100;       :;92,5;       :;92,5;20;       :;19;:;19;100;       :;95;       :;95;20;       :;18;:;18;100;       :;90;       :;90
1835 Træna;1835;Træna;4;       :;       :;:;       :;100;       :;       :;       :;       :;       :;       :;       :;       :;       :;       :;       :;       :;       :;       :;4;       :;       :;:;       :;100;       :;       :;       :;       :
1836 Rødøy;1836;Rødøy;33;       :;32;:;32;100;       :;97;       :;97;19;:;19;:;19;100;       :;100;       :;100;14;       :;13;:;13;100;       :;92,9;       :;92,9
1837 Meløy;1837;Meløy;201;23;178;:;178;100;11,4;88,6;       :;88,6;88;8;80;:;80;100;9,1;90,9;       :;90,9;113;15;98;:;98;100;13,3;86,7;       :;86,7
1838 Gildeskål;1838;Gildeskål;65;13;52;:;52;100;20;80;       :;80;43;9;34;:;34;100;20,9;79,1;       :;79,1;22;4;18;:;18;100;18,2;81,8;       :;81,8
1839 Beiarn;1839;Beiarn;25;       :;22;:;22;100;       :;88;       :;88;19;       :;17;:;17;100;       :;89,5;       :;89,5;6;       :;5;:;5;100;       :;83,3;       :;83,3
1840 Saltdal;1840;Saltdal;200;38;162;       :;161;100;19;81;       :;80,5;107;22;85;       :;84;100;20,6;79,4;       :;78,5;93;16;77;:;77;100;17,2;82,8;       :;82,8
1841 Fauske;1841;Fauske;273;60;213;:;213;100;22;78;       :;78;145;35;110;:;110;100;24,1;75,9;       :;75,9;128;25;103;:;103;100;19,5;80,5;       :;80,5
1845 Sørfold;1845;Sørfold;48;4;44;:;44;100;8,3;91,7;       :;91,7;24;       :;22;:;22;100;       :;91,7;       :;91,7;24;       :;22;:;22;100;       :;91,7;       :;91,7
1848 Steigen;1848;Steigen;119;32;87;:;87;100;26,9;73,1;       :;73,1;67;15;52;:;52;100;22,4;77,6;       :;77,6;52;17;35;:;35;100;32,7;67,3;       :;67,3
1849 Hamarøy;1849;Hamarøy;60;9;51;:;51;100;15;85;       :;85;26;       :;24;:;24;100;       :;92,3;       :;92,3;34;7;27;:;27;100;20,6;79,4;       :;79,4
1850 Tysfjord;1850;Tysfjord;64;5;59;:;59;100;7,8;92,2;       :;92,2;46;       :;43;:;43;100;       :;93,5;       :;93,5;18;       :;16;:;16;100;       :;88,9;       :;88,9
1851 Lødingen;1851;Lødingen;55;15;40;:;40;100;27,3;72,7;       :;72,7;37;10;27;:;27;100;27;73;       :;73;18;5;13;:;13;100;27,8;72,2;       :;72,2
1852 Tjeldsund;1852;Tjeldsund;27;4;23;:;23;100;14,8;85,2;       :;85,2;14;       :;11;:;11;100;       :;78,6;       :;78,6;13;       :;12;:;12;100;       :;92,3;       :;92,3
1853 Evenes;1853;Evenes;26;6;20;:;20;100;23,1;76,9;       :;76,9;12;       :;9;:;9;100;       :;75;       :;75;14;       :;11;:;11;100;       :;78,6;       :;78,6
1854 Ballangen;1854;Ballangen;69;14;55;:;55;100;20,3;79,7;       :;79,7;41;9;32;:;32;100;22;78;       :;78;28;5;23;:;23;100;17,9;82,1;       :;82,1
1856 Røst;1856;Røst;20;:;20;:;20;100;       :;100;       :;100;12;:;12;:;12;100;       :;100;       :;100;8;:;8;:;8;100;       :;100;       :;100
1857 Værøy;1857;Værøy;19;       :;17;:;17;100;       :;89,5;       :;89,5;9;:;9;:;9;100;       :;100;       :;100;10;       :;8;:;8;100;       :;80;       :;80
1859 Flakstad;1859;Flakstad;21;       :;20;:;20;100;       :;95,2;       :;95,2;12;       :;11;:;11;100;       :;91,7;       :;91,7;9;:;9;:;9;100;       :;100;       :;100
1860 Vestvågøy;1860;Vestvågøy;205;35;170;       :;169;100;17,1;82,9;       :;82,4;114;21;93;       :;92;100;18,4;81,6;       :;80,7;91;14;77;:;77;100;15,4;84,6;       :;84,6
1865 Vågan;1865;Vågan;300;74;226;:;226;100;24,7;75,3;       :;75,3;168;47;121;:;121;100;28;72;       :;72;132;27;105;:;105;100;20,5;79,5;       :;79,5
1866 Hadsel;1866;Hadsel;247;84;163;:;163;100;34;66;       :;66;121;33;88;:;88;100;27,3;72,7;       :;72,7;126;51;75;:;75;100;40,5;59,5;       :;59,5
1867 Bø (Nordl.);1867;Bø (Nordl.);70;20;50;:;50;100;28,6;71,4;       :;71,4;45;11;34;:;34;100;24,4;75,6;       :;75,6;25;9;16;:;16;100;36;64;       :;64
1868 Øksnes;1868;Øksnes;119;26;93;:;93;100;21,8;78,2;       :;78,2;61;13;48;:;48;100;21,3;78,7;       :;78,7;58;13;45;:;45;100;22,4;77,6;       :;77,6
1870 Sortland;1870;Sortland;283;83;200;:;200;100;29,3;70,7;       :;70,7;159;50;109;:;109;100;31,4;68,6;       :;68,6;124;33;91;:;91;100;26,6;73,4;       :;73,4
1871 Andøy;1871;Andøy;141;45;96;:;96;100;31,9;68,1;       :;68,1;79;26;53;:;53;100;32,9;67,1;       :;67,1;62;19;43;:;43;100;30,6;69,4;       :;69,4
1874 Moskenes;1874;Moskenes;12;       :;11;:;11;100;       :;91,7;       :;91,7;6;:;6;:;6;100;       :;100;       :;100;6;       :;5;:;5;100;       :;83,3;       :;83,3
1902 Tromsø;1902;Tromsø;1380;343;1037;6;1031;100;24,9;75,1;0,4;74,7;801;200;601;4;597;100;25;75;0,5;74,5;579;143;436;       :;434;100;24,7;75,3;       :;75
1903 Harstad;1901;Harstad;637;276;361;:;361;100;43,3;56,7;       :;56,7;348;151;197;:;197;100;43,4;56,6;       :;56,6;289;125;164;:;164;100;43,3;56,7;       :;56,7
1911 Kvæfjord;1911;Kvæfjord;94;31;63;:;63;100;33;67;       :;67;56;20;36;:;36;100;35,7;64,3;       :;64,3;38;11;27;:;27;100;28,9;71,1;       :;71,1
1913 Skånland;1913;Skånland;60;12;48;:;48;100;20;80;       :;80;36;8;28;:;28;100;22,2;77,8;       :;77,8;24;4;20;:;20;100;16,7;83,3;       :;83,3
1917 Ibestad;1917;Ibestad;38;4;34;:;34;100;10,5;89,5;       :;89,5;27;4;23;:;23;100;14,8;85,2;       :;85,2;11;:;11;:;11;100;       :;100;       :;100
1919 Gratangen;1919;Gratangen;50;8;42;:;42;100;16;84;       :;84;31;6;25;:;25;100;19,4;80,6;       :;80,6;19;       :;17;:;17;100;       :;89,5;       :;89,5
1920 Lavangen;1920;Lavangen;30;       :;29;:;29;100;       :;96,7;       :;96,7;15;       :;14;:;14;100;       :;93,3;       :;93,3;15;:;15;:;15;100;       :;100;       :;100
1922 Bardu;1922;Bardu;43;14;29;:;29;100;32,6;67,4;       :;67,4;26;9;17;:;17;100;34,6;65,4;       :;65,4;17;5;12;:;12;100;29,4;70,6;       :;70,6
1923 Salangen;1923;Salangen;77;30;47;:;47;100;39;61;       :;61;41;21;20;:;20;100;51,2;48,8;       :;48,8;36;9;27;:;27;100;25;75;       :;75
1924 Målselv;1924;Målselv;93;21;72;:;72;100;22,6;77,4;       :;77,4;55;12;43;:;43;100;21,8;78,2;       :;78,2;38;9;29;:;29;100;23,7;76,3;       :;76,3
1925 Sørreisa;1925;Sørreisa;69;6;63;:;63;100;8,7;91,3;       :;91,3;39;5;34;:;34;100;12,8;87,2;       :;87,2;30;       :;29;:;29;100;       :;96,7;       :;96,7
1926 Dyrøy;1926;Dyrøy;23;       :;21;:;21;100;       :;91,3;       :;91,3;16;       :;14;:;14;100;       :;87,5;       :;87,5;7;:;7;:;7;100;       :;100;       :;100
1927 Tranøy;1927;Tranøy;43;15;28;:;28;100;34,9;65,1;       :;65,1;24;5;19;:;19;100;20,8;79,2;       :;79,2;19;10;9;:;9;100;52,6;47,4;       :;47,4
1928 Torsken;1928;Torsken;23;       :;20;:;20;100;       :;87;       :;87;11;       :;10;:;10;100;       :;90,9;       :;90,9;12;       :;10;:;10;100;       :;83,3;       :;83,3
1929 Berg;1929;Berg;35;16;19;:;19;100;45,7;54,3;       :;54,3;22;10;12;:;12;100;45,5;54,5;       :;54,5;13;6;7;:;7;100;46,2;53,8;       :;53,8
1931 Lenvik;1931;Lenvik;166;53;113;       :;112;100;31,9;68,1;       :;67,5;94;28;66;       :;65;100;29,8;70,2;       :;69,1;72;25;47;:;47;100;34,7;65,3;       :;65,3
1933 Balsfjord;1933;Balsfjord;122;11;111;:;111;100;9;91;       :;91;69;5;64;:;64;100;7,2;92,8;       :;92,8;53;6;47;:;47;100;11,3;88,7;       :;88,7
1936 Karlsøy;1936;Karlsøy;76;9;67;:;67;100;11,8;88,2;       :;88,2;42;       :;39;:;39;100;       :;92,9;       :;92,9;34;6;28;:;28;100;17,6;82,4;       :;82,4
1938 Lyngen;1938;Lyngen;55;5;50;:;50;100;9,1;90,9;       :;90,9;43;4;39;:;39;100;9,3;90,7;       :;90,7;12;       :;11;:;11;100;       :;91,7;       :;91,7
1939 Storfjord;1939;Storfjord;41;4;37;:;37;100;9,8;90,2;       :;90,2;25;       :;22;:;22;100;       :;88;       :;88;16;       :;15;:;15;100;       :;93,8;       :;93,8
1940 Gáivuotna Kåfjord;1940;Gáivuotna Kåfjord;59;5;54;:;54;100;8,5;91,5;       :;91,5;36;       :;35;:;35;100;       :;97,2;       :;97,2;23;4;19;:;19;100;17,4;82,6;       :;82,6
1941 Skjervøy;1941;Skjervøy;103;14;89;:;89;100;13,6;86,4;       :;86,4;62;10;52;:;52;100;16,1;83,9;       :;83,9;41;4;37;:;37;100;9,8;90,2;       :;90,2
1942 Nordreisa;1942;Nordreisa;157;17;140;:;140;100;10,8;89,2;       :;89,2;89;5;84;:;84;100;5,6;94,4;       :;94,4;68;12;56;:;56;100;17,6;82,4;       :;82,4
1943 Kvænangen;1943;Kvænangen;41;       :;39;:;39;100;       :;95,1;       :;95,1;26;:;26;:;26;100;       :;100;       :;100;15;       :;13;:;13;100;       :;86,7;       :;86,7
2002 Vardø;2002;Vardø;105;15;90;:;90;100;14,3;85,7;       :;85,7;68;12;56;:;56;100;17,6;82,4;       :;82,4;37;       :;34;:;34;100;       :;91,9;       :;91,9
2003 Vadsø;2003;Vadsø;307;189;118;:;118;100;61,6;38,4;       :;38,4;178;99;79;:;79;100;55,6;44,4;       :;44,4;129;90;39;:;39;100;69,8;30,2;       :;30,2
2004 Hammerfest;2004;Hammerfest;274;90;184;       :;183;100;32,8;67,2;       :;66,8;158;52;106;       :;105;100;32,9;67,1;       :;66,5;116;38;78;:;78;100;32,8;67,2;       :;67,2
2011 Guovdageaidnu Kautokeino;2011;Guovdageaidnu Kautokeino;94;7;87;:;87;100;7,4;92,6;       :;92,6;64;       :;62;:;62;100;       :;96,9;       :;96,9;30;5;25;:;25;100;16,7;83,3;       :;83,3
2012 Alta;2012;Alta;632;98;534;:;534;100;15,5;84,5;       :;84,5;325;51;274;:;274;100;15,7;84,3;       :;84,3;307;47;260;:;260;100;15,3;84,7;       :;84,7
2014 Loppa;2014;Loppa;37;       :;34;:;34;100;       :;91,9;       :;91,9;26;       :;24;:;24;100;       :;92,3;       :;92,3;11;       :;10;:;10;100;       :;90,9;       :;90,9
2015 Hasvik;2015;Hasvik;61;       :;58;:;58;100;       :;95,1;       :;95,1;39;       :;38;:;38;100;       :;97,4;       :;97,4;22;       :;20;:;20;100;       :;90,9;       :;90,9
2017 Kvalsund;2017;Kvalsund;32;       :;31;:;31;100;       :;96,9;       :;96,9;19;       :;18;:;18;100;       :;94,7;       :;94,7;13;:;13;:;13;100;       :;100;       :;100
2018 Måsøy;2018;Måsøy;29;       :;27;:;27;100;       :;93,1;       :;93,1;20;       :;19;:;19;100;       :;95;       :;95;9;       :;8;:;8;100;       :;88,9;       :;88,9
2019 Nordkapp;2019;Nordkapp;124;20;104;:;104;100;16,1;83,9;       :;83,9;78;11;67;:;67;100;14,1;85,9;       :;85,9;46;9;37;:;37;100;19,6;80,4;       :;80,4
2020 Porsanger;2020;Porsanger Porsángu Porsanki;169;41;128;       :;127;100;24,3;75,7;       :;75,1;101;25;76;       :;75;100;24,8;75,2;       :;74,3;68;16;52;:;52;100;23,5;76,5;       :;76,5
2021 Kárásjohka Karasjok;2021;Kárásjohka Karasjok;103;5;98;:;98;100;4,9;95,1;       :;95,1;60;       :;57;:;57;100;       :;95;       :;95;43;       :;41;:;41;100;       :;95,3;       :;95,3
2022 Lebesby;2022;Lebesby;75;6;69;       :;68;100;8;92;       :;90,7;51;       :;49;:;49;100;       :;96,1;       :;96,1;24;4;20;       :;19;100;16,7;83,3;       :;79,2
2023 Gamvik;2023;Gamvik;56;16;40;:;40;100;28,6;71,4;       :;71,4;31;8;23;:;23;100;25,8;74,2;       :;74,2;25;8;17;:;17;100;32;68;       :;68
2024 Berlevåg;2024;Berlevåg;34;       :;31;:;31;100;       :;91,2;       :;91,2;20;       :;19;:;19;100;       :;95;       :;95;14;       :;12;:;12;100;       :;85,7;       :;85,7
2025 Deatnu Tana;2025;Deatnu Tana;94;7;87;:;87;100;7,4;92,6;       :;92,6;62;5;57;:;57;100;8,1;91,9;       :;91,9;32;       :;30;:;30;100;       :;93,8;       :;93,8
2027 Unjargga-Nesseby;2027;Unjárga Nesseby;28;4;24;:;24;100;14,3;85,7;       :;85,7;21;       :;19;:;19;100;       :;90,5;       :;90,5;7;       :;5;:;5;100;       :;71,4;       :;71,4
2028 Båtsfjord;2028;Båtsfjord;82;14;68;:;68;100;17,1;82,9;       :;82,9;48;6;42;:;42;100;12,5;87,5;       :;87,5;34;8;26;:;26;100;23,5;76,5;       :;76,5
2030 Sør-Varanger;2030;Sør-Varanger;254;69;185;       :;184;100;27,2;72,8;       :;72,4;139;30;109;:;109;100;21,6;78,4;       :;78,4;115;39;76;       :;75;100;33,9;66,1;       :;65,2
