Kommune nr & navn;kommune_nr;Kommunenavn;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf
0619 èl;619;èl;4713;424;4289;32;4257;100;9;91;0,7;90,3;2347;224;2123;20;2103;49,8;4,8;45;0,4;44,6;2366;200;2166;12;2154;50,2;4,2;46;0,3;45,7
0620 Hol;620;Hol;4452;640;3812;49;3763;100;14,4;85,6;1,1;84,5;2261;339;1922;37;1885;50,8;7,6;43,2;0,8;42,3;2191;301;1890;12;1878;49,2;6,8;42,5;0,3;42,2
0621 Sigdal;621;Sigdal;3509;187;3322;21;3301;100;5,3;94,7;0,6;94,1;1746;89;1657;9;1648;49,8;2,5;47,2;0,3;47;1763;98;1665;12;1653;50,2;2,8;47,4;0,3;47,1
0622 Krõdsherad;622;Krõdsherad;2265;239;2026;15;2011;100;10,6;89,4;0,7;88,8;1119;137;982;8;974;49,4;6;43,4;0,4;43;1146;102;1044;7;1037;50,6;4,5;46,1;0,3;45,8
0623 Modum;623;Modum;13581;1128;12453;196;12257;100;8,3;91,7;1,4;90,3;6793;576;6217;92;6125;50;4,2;45,8;0,7;45,1;6788;552;6236;104;6132;50;4,1;45,9;0,8;45,2
0624 ùvre Eiker;624;ùvre Eiker;17919;1940;15979;243;15736;100;10,8;89,2;1,4;87,8;9110;1060;8050;119;7931;50,8;5,9;44,9;0,7;44,3;8809;880;7929;124;7805;49,2;4,9;44,2;0,7;43,6
0625 Nedre Eiker;625;Nedre Eiker;23811;3333;20478;1005;19473;100;14;86;4,2;81,8;11891;1727;10164;494;9670;49,9;7,3;42,7;2,1;40,6;11920;1606;10314;511;9803;50,1;6,7;43,3;2,1;41,2
0626 Lier;626;Lier;25175;3709;21466;815;20651;100;14,7;85,3;3,2;82;12785;2017;10768;434;10334;50,8;8;42,8;1,7;41;12390;1692;10698;381;10317;49,2;6,7;42,5;1,5;41
0627 Rõyken;627;Rõyken;20621;2409;18212;368;17844;100;11,7;88,3;1,8;86,5;10430;1254;9176;184;8992;50,6;6,1;44,5;0,9;43,6;10191;1155;9036;184;8852;49,4;5,6;43,8;0,9;42,9
0628 Hurum;628;Hurum;9330;955;8375;117;8258;100;10,2;89,8;1,3;88,5;4682;518;4164;56;4108;50,2;5,6;44,6;0,6;44;4648;437;4211;61;4150;49,8;4,7;45,1;0,7;44,5
0631 Flesberg;631;Flesberg;2683;209;2474;26;2448;100;7,8;92,2;1;91,2;1381;111;1270;14;1256;51,5;4,1;47,3;0,5;46,8;1302;98;1204;12;1192;48,5;3,7;44,9;0,4;44,4
0632 Rollag;632;Rollag;1369;84;1285;14;1271;100;6,1;93,9;1;92,8;680;42;638;8;630;49,7;3,1;46,6;0,6;46;689;42;647;6;641;50,3;3,1;47,3;0,4;46,8
0633 Nore og Uvdal;633;Nore og Uvdal;2557;205;2352;12;2340;100;8;92;0,5;91,5;1331;120;1211;7;1204;52,1;4,7;47,4;0,3;47,1;1226;85;1141;5;1136;47,9;3,3;44,6;0,2;44,4
0701 Horten;701;Horten;26751;3053;23698;565;23133;100;11,4;88,6;2,1;86,5;13316;1504;11812;289;11523;49,8;5,6;44,2;1,1;43,1;13435;1549;11886;276;11610;50,2;5,8;44,4;1;43,4
0702 Holmestrand;702;Holmestrand;10456;873;9583;139;9444;100;8,3;91,7;1,3;90,3;5200;419;4781;82;4699;49,7;4;45,7;0,8;44,9;5256;454;4802;57;4745;50,3;4,3;45,9;0,5;45,4
0704 Tõnsberg;704;Tõnsberg;41550;4496;37054;762;36292;100;10,8;89,2;1,8;87,3;20514;2380;18134;371;17763;49,4;5,7;43,6;0,9;42,8;21036;2116;18920;391;18529;50,6;5,1;45,5;0,9;44,6
0706 Sandefjord;706;Sandefjord;44976;5472;39504;1167;38337;100;12,2;87,8;2,6;85,2;22185;2757;19428;612;18816;49,3;6,1;43,2;1,4;41,8;22791;2715;20076;555;19521;50,7;6;44,6;1,2;43,4
0709 Larvik;709;Larvik;43258;4245;39013;910;38103;100;9,8;90,2;2,1;88,1;21500;2175;19325;470;18855;49,7;5;44,7;1,1;43,6;21758;2070;19688;440;19248;50,3;4,8;45,5;1;44,5
0711 Svelvik;711;Svelvik;6580;622;5958;88;5870;100;9,5;90,5;1,3;89,2;3293;310;2983;42;2941;50;4,7;45,3;0,6;44,7;3287;312;2975;46;2929;50;4,7;45,2;0,7;44,5
0713 Sande (Vestf.);713;Sande (Vestf.);9036;827;8209;128;8081;100;9,2;90,8;1,4;89,4;4521;447;4074;63;4011;50;4,9;45,1;0,7;44,4;4515;380;4135;65;4070;50;4,2;45,8;0,7;45
0714 Hof;714;Hof;3091;205;2886;28;2858;100;6,6;93,4;0,9;92,5;1566;101;1465;14;1451;50,7;3,3;47,4;0,5;46,9;1525;104;1421;14;1407;49,3;3,4;46;0,5;45,5
0716 Re;716;Re (f.o.m. 2002);9144;764;8380;105;8275;100;8,4;91,6;1,1;90,5;4693;411;4282;59;4223;51,3;4,5;46,8;0,6;46,2;4451;353;4098;46;4052;48,7;3,9;44,8;0,5;44,3
0719 Andebu;719;Andebu;5719;485;5234;83;5151;100;8,5;91,5;1,5;90,1;2923;238;2685;53;2632;51,1;4,2;46,9;0,9;46;2796;247;2549;30;2519;48,9;4,3;44,6;0,5;44
0720 Stokke;720;Stokke;11509;1325;10184;175;10009;100;11,5;88,5;1,5;87;5823;685;5138;84;5054;50,6;6;44,6;0,7;43,9;5686;640;5046;91;4955;49,4;5,6;43,8;0,8;43,1
0722 Nõtterõy;722;Nõtterõy;21403;1948;19455;358;19097;100;9,1;90,9;1,7;89,2;10399;933;9466;202;9264;48,6;4,4;44,2;0,9;43,3;11004;1015;9989;156;9833;51,4;4,7;46,7;0,7;45,9
0723 Tjõme;723;Tjõme;4927;469;4458;44;4414;100;9,5;90,5;0,9;89,6;2466;220;2246;22;2224;50,1;4,5;45,6;0,4;45,1;2461;249;2212;22;2190;49,9;5,1;44,9;0,4;44,4
0728 Lardal;728;Lardal;2460;151;2309;17;2292;100;6,1;93,9;0,7;93,2;1270;80;1190;8;1182;51,6;3,3;48,4;0,3;48;1190;71;1119;9;1110;48,4;2,9;45,5;0,4;45,1
0805 Porsgrunn;805;Porsgrunn;35516;3354;32162;585;31577;100;9,4;90,6;1,6;88,9;17616;1753;15863;297;15566;49,6;4,9;44,7;0,8;43,8;17900;1601;16299;288;16011;50,4;4,5;45,9;0,8;45,1
0806 Skien;806;Skien;53439;6122;47317;1538;45779;100;11,5;88,5;2,9;85,7;26369;3075;23294;793;22501;49,3;5,8;43,6;1,5;42,1;27070;3047;24023;745;23278;50,7;5,7;45;1,4;43,6
0807 Notodden;807;Notodden;12609;1048;11561;129;11432;100;8,3;91,7;1;90,7;6297;540;5757;80;5677;49,9;4,3;45,7;0,6;45;6312;508;5804;49;5755;50,1;4;46;0,4;45,6
0811 Siljan;811;Siljan;2404;140;2264;11;2253;100;5,8;94,2;0,5;93,7;1208;58;1150;6;1144;50,2;2,4;47,8;0,2;47,6;1196;82;1114;5;1109;49,8;3,4;46,3;0,2;46,1
0814 Bamble;814;Bamble;14193;975;13218;111;13107;100;6,9;93,1;0,8;92,3;7189;477;6712;58;6654;50,7;3,4;47,3;0,4;46,9;7004;498;6506;53;6453;49,3;3,5;45,8;0,4;45,5
0815 Kragerõ;815;Kragerõ;10621;933;9688;120;9568;100;8,8;91,2;1,1;90,1;5309;469;4840;58;4782;50;4,4;45,6;0,5;45;5312;464;4848;62;4786;50;4,4;45,6;0,6;45,1
0817 Drangedal;817;Drangedal;4135;314;3821;21;3800;100;7,6;92,4;0,5;91,9;2084;133;1951;11;1940;50,4;3,2;47,2;0,3;46,9;2051;181;1870;10;1860;49,6;4,4;45,2;0,2;45
0819 Nome;819;Nome;6643;647;5996;91;5905;100;9,7;90,3;1,4;88,9;3320;305;3015;47;2968;50;4,6;45,4;0,7;44,7;3323;342;2981;44;2937;50;5,1;44,9;0,7;44,2
0821 Bõ (Telemark);821;Bõ (Telem.);5834;582;5252;93;5159;100;10;90;1,6;88,4;2896;285;2611;56;2555;49,6;4,9;44,8;1;43,8;2938;297;2641;37;2604;50,4;5,1;45,3;0,6;44,6
0822 Sauherad;822;Sauherad;4325;392;3933;43;3890;100;9,1;90,9;1;89,9;2196;198;1998;18;1980;50,8;4,6;46,2;0,4;45,8;2129;194;1935;25;1910;49,2;4,5;44,7;0,6;44,2
0826 Tinn;826;Tinn;5957;592;5365;96;5269;100;9,9;90,1;1,6;88,5;2921;294;2627;41;2586;49;4,9;44,1;0,7;43,4;3036;298;2738;55;2683;51;5;46;0,9;45
0827 Hjartdal;827;Hjartdal;1602;71;1531;0;1531;100;4,4;95,6;0;95,6;801;34;767;0;767;50;2,1;47,9;0;47,9;801;37;764;0;764;50;2,3;47,7;0;47,7
0828 Seljord;828;Seljord;2989;217;2772;23;2749;100;7,3;92,7;0,8;92;1472;104;1368;13;1355;49,2;3,5;45,8;0,4;45,3;1517;113;1404;10;1394;50,8;3,8;47;0,3;46,6
0829 Kviteseid;829;Kviteseid;2468;184;2284;14;2270;100;7,5;92,5;0,6;92;1251;83;1168;7;1161;50,7;3,4;47,3;0,3;47;1217;101;1116;7;1109;49,3;4,1;45,2;0,3;44,9
0830 Nissedal;830;Nissedal;1451;108;1343;7;1336;100;7,4;92,6;0,5;92,1;740;53;687;7;682;51;3,7;47,3;0,5;47;711;55;656;0;654;49;3,8;45,2;0;45,1
0831 Fyresdal;831;Fyresdal;1303;127;1176;13;1163;100;9,7;90,3;1;89,3;666;63;603;6;597;51,1;4,8;46,3;0,5;45,8;637;64;573;7;566;48,9;4,9;44;0,5;43,4
0833 Tokke;833;Tokke;2257;130;2127;8;2119;100;5,8;94,2;0,4;93,9;1146;58;1088;4;1084;50,8;2,6;48,2;0,2;48;1111;72;1039;4;1035;49,2;3,2;46;0,2;45,9
0834 Vinje;834;Vinje;3723;280;3443;41;3402;100;7,5;92,5;1,1;91,4;1865;142;1723;21;1702;50,1;3,8;46,3;0,6;45,7;1858;138;1720;20;1700;49,9;3,7;46,2;0,5;45,7
0901 Risõr;901;Risõr;6899;607;6292;57;6235;100;8,8;91,2;0,8;90,4;3425;306;3119;24;3095;49,6;4,4;45,2;0,3;44,9;3474;301;3173;33;3140;50,4;4,4;46;0,5;45,5
0904 Grimstad;904;Grimstad;21783;2293;19490;291;19199;100;10,5;89,5;1,3;88,1;10963;1196;9767;150;9617;50,3;5,5;44,8;0,7;44,1;10820;1097;9723;141;9582;49,7;5;44,6;0,6;44
0906 Arendal;906;Arendal;43841;4681;39160;799;38361;100;10,7;89,3;1,8;87,5;21852;2384;19468;413;19055;49,8;5,4;44,4;0,9;43,5;21989;2297;19692;386;19306;50,2;5,2;44,9;0,9;44
0911 Gjerstad;911;Gjerstad;2489;183;2306;26;2280;100;7,4;92,6;1;91,6;1266;97;1169;13;1156;50,9;3,9;47;0,5;46,4;1223;86;1137;13;1124;49,1;3,5;45,7;0,5;45,2
0912 VegÜrshei;912;VegÜrshei;2000;126;1874;14;1860;100;6,3;93,7;0,7;93;1000;61;939;11;928;50;3;46,9;0,5;46,4;1000;65;935;3;932;50;3,3;46,8;0,1;46,6
0914 Tvedestrand;914;Tvedestrand;6059;556;5503;70;5433;100;9,2;90,8;1,2;89,7;3000;291;2709;35;2674;49,5;4,8;44,7;0,6;44,1;3059;265;2794;35;2759;50,5;4,4;46,1;0,6;45,5
0919 Froland;919;Froland;5486;358;5128;48;5080;100;6,5;93,5;0,9;92,6;2821;191;2630;27;2603;51,4;3,5;47,9;0,5;47,4;2665;167;2498;21;2477;48,6;3;45,5;0,4;45,2
0926 Lillesand;926;Lillesand;10106;829;9277;145;9132;100;8,2;91,8;1,4;90,4;5079;386;4693;70;4623;50,3;3,8;46,4;0,7;45,7;5027;443;4584;75;4509;49,7;4,4;45,4;0,7;44,6
0928 Birkenes;928;Birkenes;4993;447;4546;75;4471;100;9;91;1,5;89,5;2543;234;2309;39;2270;50,9;4,7;46,2;0,8;45,5;2450;213;2237;36;2201;49,1;4,3;44,8;0,7;44,1
0929 èmli;929;èmli;1810;203;1607;16;1591;100;11,2;88,8;0,9;87,9;931;101;830;10;820;51,4;5,6;45,9;0,6;45,3;879;102;777;6;771;48,6;5,6;42,9;0,3;42,6
0935 Iveland;935;Iveland;1314;117;1197;15;1182;100;8,9;91,1;1,1;90;665;61;604;9;595;50,6;4,6;46;0,7;45,3;649;56;593;6;587;49,4;4,3;45,1;0,5;44,7
0937 Evje og Hornnes;937;Evje og Hornnes;3549;366;3183;65;3118;100;10,3;89,7;1,8;87,9;1799;177;1622;40;1582;50,7;5;45,7;1,1;44,6;1750;189;1561;25;1536;49,3;5,3;44;0,7;43,3
0938 Bygland;938;Bygland;1200;71;1129;11;1118;100;5,9;94,1;0,9;93,2;611;37;574;6;568;50,9;3,1;47,8;0,5;47,3;589;34;555;5;550;49,1;2,8;46,3;0,4;45,8
0940 Valle;940;Valle;1270;109;1161;6;1155;100;8,6;91,4;0,5;90,9;652;50;602;6;598;51,3;3,9;47,4;0,5;47,1;618;59;559;0;557;48,7;4,6;44;0;43,9
0941 Bykle;941;Bykle;948;162;786;10;776;100;17,1;82,9;1,1;81,9;495;86;409;6;403;52,2;9,1;43,1;0,6;42,5;453;76;377;4;373;47,8;8;39,8;0,4;39,3
1001 Kristiansand;1001;Kristiansand;85983;11348;74635;2529;72106;100;13,2;86,8;2,9;83,9;42908;5926;36982;1338;35644;49,9;6,9;43;1,6;41,5;43075;5422;37653;1191;36462;50,1;6,3;43,8;1,4;42,4
1002 Mandal;1002;Mandal;15349;1477;13872;170;13702;100;9,6;90,4;1,1;89,3;7613;717;6896;86;6810;49,6;4,7;44,9;0,6;44,4;7736;760;6976;84;6892;50,4;5;45,4;0,5;44,9
1003 Farsund;1003;Farsund;9516;719;8797;92;8705;100;7,6;92,4;1;91,5;4797;341;4456;53;4403;50,4;3,6;46,8;0,6;46,3;4719;378;4341;39;4302;49,6;4;45,6;0,4;45,2
1004 Flekkefjord;1004;Flekkefjord;9013;872;8141;132;8009;100;9,7;90,3;1,5;88,9;4601;440;4161;68;4093;51;4,9;46,2;0,8;45,4;4412;432;3980;64;3916;49;4,8;44,2;0,7;43,4
1014 Vennesla;1014;Vennesla;13986;1088;12898;187;12711;100;7,8;92,2;1,3;90,9;7042;565;6477;101;6376;50,4;4;46,3;0,7;45,6;6944;523;6421;86;6335;49,6;3,7;45,9;0,6;45,3
1017 Songdalen;1017;Songdalen;6303;763;5540;153;5387;100;12,1;87,9;2,4;85,5;3185;389;2796;83;2713;50,5;6,2;44,4;1,3;43;3118;374;2744;70;2674;49,5;5,9;43,5;1,1;42,4
1018 Sõgne;1018;Sõgne;11005;845;10160;111;10049;100;7,7;92,3;1;91,3;5529;440;5089;55;5034;50,2;4;46,2;0,5;45,7;5476;405;5071;56;5015;49,8;3,7;46,1;0,5;45,6
1021 Marnardal;1021;Marnardal;2290;192;2098;14;2084;100;8,4;91,6;0,6;91;1171;107;1064;9;1055;51,1;4,7;46,5;0,4;46,1;1119;85;1034;5;1029;48,9;3,7;45,2;0,2;44,9
1026 èseral;1026;èseral;923;97;826;9;817;100;10,5;89,5;1;88,5;472;55;417;6;411;51,1;6;45,2;0,7;44,5;451;42;409;3;406;48,9;4,6;44,3;0,3;44
1027 Audnedal;1027;Audnedal;1743;109;1634;5;1629;100;6,3;93,7;0,3;93,5;868;52;816;5;813;49,8;3;46,8;0,3;46,6;875;57;818;0;816;50,2;3,3;46,9;0;46,8
1029 Lindesnes;1029;Lindesnes;4853;461;4392;61;4331;100;9,5;90,5;1,3;89,2;2452;220;2232;27;2205;50,5;4,5;46;0,6;45,4;2401;241;2160;34;2126;49,5;5;44,5;0,7;43,8
1032 Lyngdal;1032;Lyngdal;8102;806;7296;113;7183;100;9,9;90,1;1,4;88,7;4050;377;3673;57;3616;50;4,7;45,3;0,7;44,6;4052;429;3623;56;3567;50;5,3;44,7;0,7;44
1034 Hëgebostad;1034;Hëgebostad;1690;113;1577;17;1560;100;6,7;93,3;1;92,3;885;54;831;10;821;52,4;3,2;49,2;0,6;48,6;805;59;746;7;739;47,6;3,5;44,1;0,4;43,7
1037 Kvinesdal;1037;Kvinesdal;5891;473;5418;41;5377;100;8;92;0,7;91,3;2981;231;2750;23;2727;50,6;3,9;46,7;0,4;46,3;2910;242;2668;18;2650;49,4;4,1;45,3;0,3;45
1046 Sirdal;1046;Sirdal;1831;181;1650;16;1634;100;9,9;90,1;0,9;89,2;940;93;847;10;837;51,3;5,1;46,3;0,5;45,7;891;88;803;6;797;48,7;4,8;43,9;0,3;43,5
1101 Eigersund;1101;Eigersund;14811;1535;13276;189;13087;100;10,4;89,6;1,3;88,4;7548;861;6687;101;6586;51;5,8;45,1;0,7;44,5;7263;674;6589;88;6501;49;4,6;44,5;0,6;43,9
1102 Sandnes;1102;Sandnes;71900;11508;60392;2289;58103;100;16;84;3,2;80,8;36669;6218;30451;1170;29281;51;8,6;42,4;1,6;40,7;35231;5290;29941;1119;28822;49;7,4;41,6;1,6;40,1
1103 Stavanger;1103;Stavanger;130754;23565;107189;3966;103223;100;18;82;3;78,9;66008;13004;53004;1985;51019;50,5;9,9;40,5;1,5;39;64746;10561;54185;1981;52204;49,5;8,1;41,4;1,5;39,9
1106 Haugesund;1106;Haugesund;36099;4990;31109;675;30434;100;13,8;86,2;1,9;84,3;18317;2863;15454;337;15117;50,7;7,9;42,8;0,9;41,9;17782;2127;15655;338;15317;49,3;5,9;43,4;0,9;42,4
1111 Sokndal;1111;Sokndal;3303;165;3138;4;3134;100;5;95;0,1;94,9;1654;72;1582;0;1580;50,1;2,2;47,9;0;47,8;1649;93;1556;4;1554;49,9;2,8;47,1;0,1;47
1112 Lund;1112;Lund;3225;252;2973;29;2944;100;7,8;92,2;0,9;91,3;1614;112;1502;19;1483;50;3,5;46,6;0,6;46;1611;140;1471;10;1461;50;4,3;45,6;0,3;45,3
1114 Bjerkreim;1114;Bjerkreim;2820;243;2577;36;2541;100;8,6;91,4;1,3;90,1;1446;131;1315;22;1293;51,3;4,6;46,6;0,8;45,9;1374;112;1262;14;1248;48,7;4;44,8;0,5;44,3
1119 HÜ;1119;HÜ;18115;2267;15848;313;15535;100;12,5;87,5;1,7;85,8;9345;1296;8049;178;7871;51,6;7,2;44,4;1;43,5;8770;971;7799;135;7664;48,4;5,4;43,1;0,7;42,3
1120 Klepp;1120;Klepp;18485;2097;16388;325;16063;100;11,3;88,7;1,8;86,9;9515;1150;8365;171;8194;51,5;6,2;45,3;0,9;44,3;8970;947;8023;154;7869;48,5;5,1;43,4;0,8;42,6
1121 Time;1121;Time;17897;1644;16253;273;15980;100;9,2;90,8;1,5;89,3;9180;882;8298;160;8138;51,3;4,9;46,4;0,9;45,5;8717;762;7955;113;7842;48,7;4,3;44,4;0,6;43,8
1122 Gjesdal;1122;Gjesdal;11317;1213;10104;176;9928;100;10,7;89,3;1,6;87,7;5795;664;5131;94;5037;51,2;5,9;45,3;0,8;44,5;5522;549;4973;82;4891;48,8;4,9;43,9;0,7;43,2
1124 Sola;1124;Sola;25083;3741;21342;589;20753;100;14,9;85,1;2,3;82,7;12801;1963;10838;312;10526;51;7,8;43,2;1,2;42;12282;1778;10504;277;10227;49;7,1;41,9;1,1;40,8
1127 Randaberg;1127;Randaberg;10416;1000;9416;137;9279;100;9,6;90,4;1,3;89,1;5286;538;4748;72;4676;50,7;5,2;45,6;0,7;44,9;5130;462;4668;65;4603;49,3;4,4;44,8;0,6;44,2
1129 Forsand;1129;Forsand;1242;101;1141;9;1132;100;8,1;91,9;0,7;91,1;648;56;592;5;587;52,2;4,5;47,7;0,4;47,3;594;45;549;4;545;47,8;3,6;44,2;0,3;43,9
1130 Strand;1130;Strand;12139;1067;11072;135;10937;100;8,8;91,2;1,1;90,1;6140;528;5612;55;5557;50,6;4,3;46,2;0,5;45,8;5999;539;5460;80;5380;49,4;4,4;45;0,7;44,3
1133 Hjelmeland;1133;Hjelmeland;2787;429;2358;54;2304;100;15,4;84,6;1,9;82,7;1427;221;1206;25;1181;51,2;7,9;43,3;0,9;42,4;1360;208;1152;29;1123;48,8;7,5;41,3;1;40,3
1134 Suldal;1134;Suldal;3881;348;3533;27;3506;100;9;91;0,7;90,3;1942;170;1772;14;1758;50;4,4;45,7;0,4;45,3;1939;178;1761;13;1748;50;4,6;45,4;0,3;45
1135 Sauda;1135;Sauda;4760;330;4430;18;4412;100;6,9;93,1;0,4;92,7;2357;169;2188;12;2176;49,5;3,6;46;0,3;45,7;2403;161;2242;6;2236;50,5;3,4;47,1;0,1;47
1141 Finnõy;1141;Finnõy;3058;353;2705;47;2658;100;11,5;88,5;1,5;86,9;1579;206;1373;21;1352;51,6;6,7;44,9;0,7;44,2;1479;147;1332;26;1306;48,4;4,8;43,6;0,9;42,7
1142 Rennesõy;1142;Rennesõy;4755;491;4264;46;4218;100;10,3;89,7;1;88,7;2438;261;2177;20;2157;51,3;5,5;45,8;0,4;45,4;2317;230;2087;26;2061;48,7;4,8;43,9;0,5;43,3
1144 Kvitsõy;1144;Kvitsõy;531;41;490;3;487;100;7,7;92,3;0,6;91,7;278;18;260;3;259;52,4;3,4;49;0,6;48,8;253;23;230;0;229;47,6;4,3;43,3;0;43,1
1145 Bokn;1145;Bokn;868;81;787;3;784;100;9,3;90,7;0,3;90,3;455;44;411;3;408;52,4;5,1;47,4;0,3;47;413;37;376;0;376;47,6;4,3;43,3;0;43,3
1146 Tysvër;1146;Tysvër;10668;749;9919;80;9839;100;7;93;0,7;92,2;5477;404;5073;37;5036;51,3;3,8;47,6;0,3;47,2;5191;345;4846;43;4803;48,7;3,2;45,4;0,4;45
1149 Karmõy;1149;Karmõy;41753;3447;38306;399;37907;100;8,3;91,7;1;90,8;21102;1785;19317;207;19110;50,5;4,3;46,3;0,5;45,8;20651;1662;18989;192;18797;49,5;4;45,5;0,5;45
1151 Utsira;1151;Utsira;211;15;196;3;193;100;7,1;92,9;1,4;91,5;116;6;110;3;108;55;2,8;52,1;1,4;51,2;95;9;86;0;85;45;4,3;40,8;0;40,3
1160 Vindafjord;1160;Vindafjord;8747;1010;7737;78;7659;100;11,5;88,5;0,9;87,6;4518;567;3951;40;3911;51,7;6,5;45,2;0,5;44,7;4229;443;3786;38;3748;48,3;5,1;43,3;0,4;42,8
1201 Bergen;1201;Bergen;271949;36258;235691;5905;229786;100;13,3;86,7;2,2;84,5;136760;19772;116988;3018;113970;50,3;7,3;43;1,1;41,9;135189;16486;118703;2887;115816;49,7;6,1;43,6;1,1;42,6
1211 Etne;1211;Etne;4057;391;3666;25;3641;100;9,6;90,4;0,6;89,7;2086;221;1865;13;1852;51,4;5,4;46;0,3;45,6;1971;170;1801;12;1789;48,6;4,2;44,4;0,3;44,1
1216 Sveio;1216;Sveio;5463;446;5017;44;4973;100;8,2;91,8;0,8;91;2850;250;2600;20;2580;52,2;4,6;47,6;0,4;47,2;2613;196;2417;24;2393;47,8;3,6;44,2;0,4;43,8
1219 Bõmlo;1219;Bõmlo;11749;1058;10691;120;10571;100;9;91;1;90;6018;550;5468;61;5407;51,2;4,7;46,5;0,5;46;5731;508;5223;59;5164;48,8;4,3;44,5;0,5;44
1221 Stord;1221;Stord;18425;1757;16668;218;16450;100;9,5;90,5;1,2;89,3;9360;1008;8352;106;8246;50,8;5,5;45,3;0,6;44,8;9065;749;8316;112;8204;49,2;4,1;45,1;0,6;44,5
1222 Fitjar;1222;Fitjar;3009;180;2829;11;2818;100;6;94;0,4;93,7;1533;94;1439;5;1434;50,9;3,1;47,8;0,2;47,7;1476;86;1390;6;1384;49,1;2,9;46,2;0,2;46
1223 Tysnes;1223;Tysnes;2745;207;2538;11;2527;100;7,5;92,5;0,4;92,1;1385;93;1292;6;1286;50,5;3,4;47,1;0,2;46,8;1360;114;1246;5;1241;49,5;4,2;45,4;0,2;45,2
