Kommune nr & navn;kommune_nr;Kommunenavn;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf
1224 Kvinnherad;1224;Kvinnherad;13232;880;12352;89;12263;100;6,7;93,3;0,7;92,7;6654;424;6230;59;6171;50,3;3,2;47,1;0,4;46,6;6578;456;6122;30;6092;49,7;3,4;46,3;0,2;46
1227 Jondal;1227;Jondal;1094;65;1029;3;1026;100;5,9;94,1;0,3;93,8;549;36;513;3;512;50,2;3,3;46,9;0,3;46,8;545;29;516;0;516;49,8;2,7;47,2;0;47,2
1228 Odda;1228;Odda;7006;596;6410;64;6346;100;8,5;91,5;0,9;90,6;3461;284;3177;26;3151;49,4;4,1;45,3;0,4;45;3545;312;3233;38;3195;50,6;4,5;46,1;0,5;45,6
1231 Ullensvang;1231;Ullensvang;3369;307;3062;44;3018;100;9,1;90,9;1,3;89,6;1705;148;1557;21;1536;50,6;4,4;46,2;0,6;45,6;1664;159;1505;23;1482;49,4;4,7;44,7;0,7;44
1232 Eidfjord;1232;Eidfjord;950;93;857;14;843;100;9,8;90,2;1,5;88,7;467;44;423;6;417;49,2;4,6;44,5;0,6;43,9;483;49;434;8;426;50,8;5,2;45,7;0,8;44,8
1233 Ulvik;1233;Ulvik;1094;121;973;14;959;100;11,1;88,9;1,3;87,7;566;63;503;9;494;51,7;5,8;46;0,8;45,2;528;58;470;5;465;48,3;5,3;43;0,5;42,5
1234 Granvin;1234;Granvin;911;57;854;3;851;100;6,3;93,7;0,3;93,4;465;27;438;0;437;51;3;48,1;0;48;446;30;416;3;414;49;3,3;45,7;0,3;45,4
1235 Voss;1235;Voss;14168;910;13258;98;13160;100;6,4;93,6;0,7;92,9;7072;500;6572;52;6520;49,9;3,5;46,4;0,4;46;7096;410;6686;46;6640;50,1;2,9;47,2;0,3;46,9
1238 Kvam;1238;Kvam;8584;845;7739;76;7663;100;9,8;90,2;0,9;89,3;4404;486;3918;40;3878;51,3;5,7;45,6;0,5;45,2;4180;359;3821;36;3785;48,7;4,2;44,5;0,4;44,1
1241 Fusa;1241;Fusa;3829;237;3592;23;3569;100;6,2;93,8;0,6;93,2;1958;117;1841;11;1830;51,1;3,1;48,1;0,3;47,8;1871;120;1751;12;1739;48,9;3,1;45,7;0,3;45,4
1242 Samnanger;1242;Samnanger;2436;156;2280;17;2263;100;6,4;93,6;0,7;92,9;1245;73;1172;7;1165;51,1;3;48,1;0,3;47,8;1191;83;1108;10;1098;48,9;3,4;45,5;0,4;45,1
1243 Os (Hord.);1243;Os (Hord.);18678;1735;16943;254;16689;100;9,3;90,7;1,4;89,4;9472;915;8557;122;8435;50,7;4,9;45,8;0,7;45,2;9206;820;8386;132;8254;49,3;4,4;44,9;0,7;44,2
1244 Austevoll;1244;Austevoll;4924;507;4417;41;4376;100;10,3;89,7;0,8;88,9;2560;284;2276;17;2259;52;5,8;46,2;0,3;45,9;2364;223;2141;24;2117;48;4,5;43,5;0,5;43
1245 Sund;1245;Sund;6635;622;6013;75;5938;100;9,4;90,6;1,1;89,5;3439;334;3105;31;3074;51,8;5;46,8;0,5;46,3;3196;288;2908;44;2864;48,2;4,3;43,8;0,7;43,2
1246 Fjell;1246;Fjell;23852;1931;21921;229;21692;100;8,1;91,9;1;90,9;12114;1006;11108;113;10995;50,8;4,2;46,6;0,5;46,1;11738;925;10813;116;10697;49,2;3,9;45,3;0,5;44,8
1247 Askõy;1247;Askõy;27346;2025;25321;193;25128;100;7,4;92,6;0,7;91,9;13860;1085;12775;113;12662;50,7;4;46,7;0,4;46,3;13486;940;12546;80;12466;49,3;3,4;45,9;0,3;45,6
1251 Vaksdal;1251;Vaksdal;4140;270;3870;33;3837;100;6,5;93,5;0,8;92,7;2069;144;1925;11;1914;50;3,5;46,5;0,3;46,2;2071;126;1945;22;1923;50;3;47;0,5;46,4
1252 Modalen;1252;Modalen;372;22;350;3;347;100;5,9;94,1;0,8;93,3;184;11;173;3;172;49,5;3;46,5;0,8;46,2;188;11;177;0;177;50,5;3;47,6;0;47,6
1253 Osterõy;1253;Osterõy;7786;584;7202;64;7138;100;7,5;92,5;0,8;91,7;3997;309;3688;37;3651;51,3;4;47,4;0,5;46,9;3789;275;3514;27;3487;48,7;3,5;45,1;0,3;44,8
1256 Meland;1256;Meland;7544;583;6961;54;6907;100;7,7;92,3;0,7;91,6;3817;294;3523;35;3488;50,6;3,9;46,7;0,5;46,2;3727;289;3438;19;3419;49,4;3,8;45,6;0,3;45,3
1259 ùygarden;1259;ùygarden;4704;416;4288;25;4263;100;8,8;91,2;0,5;90,6;2420;216;2204;13;2191;51,4;4,6;46,9;0,3;46,6;2284;200;2084;12;2072;48,6;4,3;44,3;0,3;44
1260 Radõy;1260;Radõy;5039;462;4577;39;4538;100;9,2;90,8;0,8;90,1;2590;257;2333;20;2313;51,4;5,1;46,3;0,4;45,9;2449;205;2244;19;2225;48,6;4,1;44,5;0,4;44,2
1263 LindÜs;1263;LindÜs;15069;1051;14018;95;13923;100;7;93;0,6;92,4;7657;547;7110;51;7059;50,8;3,6;47,2;0,3;46,8;7412;504;6908;44;6864;49,2;3,3;45,8;0,3;45,6
1264 Austrheim;1264;Austrheim;2833;326;2507;24;2483;100;11,5;88,5;0,8;87,6;1473;202;1271;9;1262;52;7,1;44,9;0,3;44,5;1360;124;1236;15;1221;48;4,4;43,6;0,5;43,1
1265 Fedje;1265;Fedje;561;30;531;3;528;100;5,3;94,7;0,5;94,1;271;13;258;3;256;48,3;2,3;46;0,5;45,6;290;17;273;0;273;51,7;3;48,7;0;48,7
1266 Masfjorden;1266;Masfjorden;1693;57;1636;0;1636;100;3,4;96,6;0;96,6;860;27;833;0;833;50,8;1,6;49,2;0;49,2;833;30;803;0;803;49,2;1,8;47,4;0;47,4
1401 Flora;1401;Flora;11779;1234;10545;167;10378;100;10,5;89,5;1,4;88,1;6035;661;5374;82;5292;51,2;5,6;45,6;0,7;44,9;5744;573;5171;85;5086;48,8;4,9;43,9;0,7;43,2
1411 Gulen;1411;Gulen;2315;184;2131;15;2116;100;7,9;92,1;0,6;91,4;1150;85;1065;6;1059;49,7;3,7;46;0,3;45,7;1165;99;1066;9;1057;50,3;4,3;46;0,4;45,7
1412 Solund;1412;Solund;815;76;739;10;729;100;9,3;90,7;1,2;89,4;424;42;382;3;379;52;5,2;46,9;0,4;46,5;391;34;357;7;350;48;4,2;43,8;0,9;42,9
1413 Hyllestad;1413;Hyllestad;1391;126;1265;11;1254;100;9,1;90,9;0,8;90,2;721;79;642;6;636;51,8;5,7;46,2;0,4;45,7;670;47;623;5;618;48,2;3,4;44,8;0,4;44,4
1416 Hõyanger;1416;Hõyanger;4183;329;3854;31;3823;100;7,9;92,1;0,7;91,4;2125;167;1958;15;1943;50,8;4;46,8;0,4;46,4;2058;162;1896;16;1880;49,2;3,9;45,3;0,4;44,9
1417 Vik;1417;Vik;2688;217;2471;28;2443;100;8,1;91,9;1;90,9;1340;113;1227;19;1208;49,9;4,2;45,6;0,7;44,9;1348;104;1244;9;1235;50,1;3,9;46,3;0,3;45,9
1418 Balestrand;1418;Balestrand;1306;184;1122;26;1096;100;14,1;85,9;2;83,9;643;85;558;13;545;49,2;6,5;42,7;1;41,7;663;99;564;13;551;50,8;7,6;43,2;1;42,2
1419 Leikanger;1419;Leikanger;2268;122;2146;12;2134;100;5,4;94,6;0,5;94,1;1110;47;1063;6;1057;48,9;2,1;46,9;0,3;46,6;1158;75;1083;6;1077;51,1;3,3;47,8;0,3;47,5
1420 Sogndal;1420;Sogndal;7623;670;6953;43;6910;100;8,8;91,2;0,6;90,6;3823;375;3448;16;3432;50,2;4,9;45,2;0,2;45;3800;295;3505;27;3478;49,8;3,9;46;0,4;45,6
1421 Aurland;1421;Aurland;1715;148;1567;7;1560;100;8,6;91,4;0,4;91;862;77;785;0;783;50,3;4,5;45,8;0;45,7;853;71;782;7;777;49,7;4,1;45,6;0,4;45,3
1422 Lërdal;1422;Lërdal;2174;142;2032;25;2007;100;6,5;93,5;1,1;92,3;1116;69;1047;13;1034;51,3;3,2;48,2;0,6;47,6;1058;73;985;12;973;48,7;3,4;45,3;0,6;44,8
1424 èrdal;1424;èrdal;5496;515;4981;52;4929;100;9,4;90,6;0,9;89,7;2850;311;2539;32;2507;51,9;5,7;46,2;0,6;45,6;2646;204;2442;20;2422;48,1;3,7;44,4;0,4;44,1
1426 Luster;1426;Luster;5089;279;4810;21;4789;100;5,5;94,5;0,4;94,1;2580;154;2426;12;2414;50,7;3;47,7;0,2;47,4;2509;125;2384;9;2375;49,3;2,5;46,8;0,2;46,7
1428 Askvoll;1428;Askvoll;3011;165;2846;12;2834;100;5,5;94,5;0,4;94,1;1519;73;1446;5;1441;50,4;2,4;48;0,2;47,9;1492;92;1400;7;1393;49,6;3,1;46,5;0,2;46,3
1429 Fjaler;1429;Fjaler;2853;337;2516;7;2509;100;11,8;88,2;0,2;87,9;1446;143;1303;4;1299;50,7;5;45,7;0,1;45,5;1407;194;1213;3;1210;49,3;6,8;42,5;0,1;42,4
1430 Gaular;1430;Gaular;2928;189;2739;15;2724;100;6,5;93,5;0,5;93;1511;107;1404;10;1394;51,6;3,7;48;0,3;47,6;1417;82;1335;5;1330;48,4;2,8;45,6;0,2;45,4
1431 Jõlster;1431;Jõlster;3070;228;2842;23;2819;100;7,4;92,6;0,7;91,8;1591;136;1455;10;1445;51,8;4,4;47,4;0,3;47,1;1479;92;1387;13;1374;48,2;3;45,2;0,4;44,8
1432 Fõrde;1432;Fõrde;12685;1045;11640;125;11515;100;8,2;91,8;1;90,8;6361;545;5816;66;5750;50,1;4,3;45,8;0,5;45,3;6324;500;5824;59;5765;49,9;3,9;45,9;0,5;45,4
1433 Naustdal;1433;Naustdal;2776;142;2634;8;2626;100;5,1;94,9;0,3;94,6;1457;72;1385;8;1379;52,5;2,6;49,9;0,3;49,7;1319;70;1249;0;1247;47,5;2,5;45;0;44,9
1438 Bremanger;1438;Bremanger;3950;527;3423;35;3388;100;13,3;86,7;0,9;85,8;2026;258;1768;15;1753;51,3;6,5;44,8;0,4;44,4;1924;269;1655;20;1635;48,7;6,8;41,9;0,5;41,4
1439 VÜgsõy;1439;VÜgsõy;6091;596;5495;72;5423;100;9,8;90,2;1,2;89;3127;337;2790;39;2751;51,3;5,5;45,8;0,6;45,2;2964;259;2705;33;2672;48,7;4,3;44,4;0,5;43,9
1441 Selje;1441;Selje;2782;160;2622;10;2612;100;5,8;94,2;0,4;93,9;1372;75;1297;4;1293;49,3;2,7;46,6;0,1;46,5;1410;85;1325;6;1319;50,7;3,1;47,6;0,2;47,4
1443 Eid;1443;Eid;5926;402;5524;34;5490;100;6,8;93,2;0,6;92,6;2986;208;2778;18;2760;50,4;3,5;46,9;0,3;46,6;2940;194;2746;16;2730;49,6;3,3;46,3;0,3;46,1
1444 Hornindal;1444;Hornindal;1223;70;1153;11;1142;100;5,7;94,3;0,9;93,4;644;34;610;7;603;52,7;2,8;49,9;0,6;49,3;579;36;543;4;539;47,3;2,9;44,4;0,3;44,1
1445 Gloppen;1445;Gloppen;5694;352;5342;30;5312;100;6,2;93,8;0,5;93,3;2858;183;2675;15;2660;50,2;3,2;47;0,3;46,7;2836;169;2667;15;2652;49,8;3;46,8;0,3;46,6
1449 Stryn;1449;Stryn;7134;1010;6124;102;6022;100;14,2;85,8;1,4;84,4;3745;603;3142;55;3087;52,5;8,5;44;0,8;43,3;3389;407;2982;47;2935;47,5;5,7;41,8;0,7;41,1
1502 Molde;1502;Molde;26048;2391;23657;258;23399;100;9,2;90,8;1;89,8;13028;1283;11745;139;11606;50;4,9;45,1;0,5;44,6;13020;1108;11912;119;11793;50;4,3;45,7;0,5;45,3
1504 èlesund;1504;èlesund;45747;4998;40749;500;40249;100;10,9;89,1;1,1;88;23297;2782;20515;262;20253;50,9;6,1;44,8;0,6;44,3;22450;2216;20234;238;19996;49,1;4,8;44,2;0,5;43,7
1505 Kristiansund;1505;Kristiansund;24395;2458;21937;284;21653;100;10,1;89,9;1,2;88,8;12361;1334;11027;135;10892;50,7;5,5;45,2;0,6;44,6;12034;1124;10910;149;10761;49,3;4,6;44,7;0,6;44,1
1511 Vanylven;1511;Vanylven;3302;171;3131;8;3123;100;5,2;94,8;0,2;94,6;1709;77;1632;5;1627;51,8;2,3;49,4;0,2;49,3;1593;94;1499;3;1496;48,2;2,8;45,4;0,1;45,3
1514 Sande (M. og R.);1514;Sande (M. og R.);2636;407;2229;14;2215;100;15,4;84,6;0,5;84;1397;266;1131;8;1123;53;10,1;42,9;0,3;42,6;1239;141;1098;6;1092;47;5,3;41,7;0,2;41,4
1515 Herõy (M. og R.);1515;Herõy (M. og R.);8847;879;7968;75;7893;100;9,9;90,1;0,8;89,2;4501;429;4072;40;4032;50,9;4,8;46;0,5;45,6;4346;450;3896;35;3861;49,1;5,1;44;0,4;43,6
1516 Ulstein;1516;Ulstein;8092;1164;6928;111;6817;100;14,4;85,6;1,4;84,2;4233;735;3498;58;3440;52,3;9,1;43,2;0,7;42,5;3859;429;3430;53;3377;47,7;5,3;42,4;0,7;41,7
1517 Hareid;1517;Hareid;5021;685;4336;108;4228;100;13,6;86,4;2,2;84,2;2544;369;2175;56;2119;50,7;7,3;43,3;1,1;42,2;2477;316;2161;52;2109;49,3;6,3;43;1;42
1519 Volda;1519;Volda;8909;730;8179;75;8104;100;8,2;91,8;0,8;91;4463;383;4080;37;4043;50,1;4,3;45,8;0,4;45,4;4446;347;4099;38;4061;49,9;3,9;46;0,4;45,6
1520 ùrsta;1520;ùrsta;10536;692;9844;63;9781;100;6,6;93,4;0,6;92,8;5343;358;4985;34;4951;50,7;3,4;47,3;0,3;47;5193;334;4859;29;4830;49,3;3,2;46,1;0,3;45,8
1523 ùrskog;1523;ùrskog;2301;307;1994;34;1960;100;13,3;86,7;1,5;85,2;1182;163;1019;22;997;51,4;7,1;44,3;1;43,3;1119;144;975;12;963;48,6;6,3;42,4;0,5;41,9
1524 Norddal;1524;Norddal;1685;143;1542;22;1520;100;8,5;91,5;1,3;90,2;841;68;773;11;762;49,9;4;45,9;0,7;45,2;844;75;769;11;758;50,1;4,5;45,6;0,7;45
1525 Stranda;1525;Stranda;4616;616;4000;74;3926;100;13,3;86,7;1,6;85,1;2346;340;2006;38;1968;50,8;7,4;43,5;0,8;42,6;2270;276;1994;36;1958;49,2;6;43,2;0,8;42,4
1526 Stordal;1526;Stordal;1035;148;887;20;867;100;14,3;85,7;1,9;83,8;513;82;431;8;423;49,6;7,9;41,6;0,8;40,9;522;66;456;12;444;50,4;6,4;44,1;1,2;42,9
1528 Sykkylven;1528;Sykkylven;7730;824;6906;106;6800;100;10,7;89,3;1,4;88;3879;417;3462;50;3412;50,2;5,4;44,8;0,6;44,1;3851;407;3444;56;3388;49,8;5,3;44,6;0,7;43,8
1529 Skodje;1529;Skodje;4387;346;4041;50;3991;100;7,9;92,1;1,1;91;2228;177;2051;26;2025;50,8;4;46,8;0,6;46,2;2159;169;1990;24;1966;49,2;3,9;45,4;0,5;44,8
1531 Sula;1531;Sula;8651;790;7861;75;7786;100;9,1;90,9;0,9;90;4422;450;3972;39;3933;51,1;5,2;45,9;0,5;45,5;4229;340;3889;36;3853;48,9;3,9;45;0,4;44,5
1532 Giske;1532;Giske;7739;699;7040;56;6984;100;9;91;0,7;90,2;3924;374;3550;25;3525;50,7;4,8;45,9;0,3;45,5;3815;325;3490;31;3459;49,3;4,2;45,1;0,4;44,7
1534 Haram;1534;Haram;9084;1158;7926;142;7784;100;12,7;87,3;1,6;85,7;4682;594;4088;77;4011;51,5;6,5;45;0,8;44,2;4402;564;3838;65;3773;48,5;6,2;42,3;0,7;41,5
1535 Vestnes;1535;Vestnes;6615;663;5952;44;5908;100;10;90;0,7;89,3;3433;369;3064;21;3043;51,9;5,6;46,3;0,3;46;3182;294;2888;23;2865;48,1;4,4;43,7;0,3;43,3
1539 Rauma;1539;Rauma;7453;508;6945;30;6915;100;6,8;93,2;0,4;92,8;3760;258;3502;16;3486;50,4;3,5;47;0,2;46,8;3693;250;3443;14;3429;49,6;3,4;46,2;0,2;46
1543 Nesset;1543;Nesset;3001;141;2860;9;2851;100;4,7;95,3;0,3;95;1542;64;1478;4;1474;51,4;2,1;49,3;0,1;49,1;1459;77;1382;5;1377;48,6;2,6;46,1;0,2;45,9
1545 Midsund;1545;Midsund;2036;233;1803;28;1775;100;11,4;88,6;1,4;87,2;1044;112;932;8;924;51,3;5,5;45,8;0,4;45,4;992;121;871;20;851;48,7;5,9;42,8;1;41,8
1546 Sandõy;1546;Sandõy;1285;166;1119;19;1100;100;12,9;87,1;1,5;85,6;662;85;577;11;566;51,5;6,6;44,9;0,9;44;623;81;542;8;534;48,5;6,3;42,2;0,6;41,6
1547 Aukra;1547;Aukra;3377;324;3053;41;3012;100;9,6;90,4;1,2;89,2;1706;167;1539;18;1521;50,5;4,9;45,6;0,5;45;1671;157;1514;23;1491;49,5;4,6;44,8;0,7;44,2
1548 Frëna;1548;Frëna;9720;749;8971;63;8908;100;7,7;92,3;0,6;91,6;4904;373;4531;26;4505;50,5;3,8;46,6;0,3;46,3;4816;376;4440;37;4403;49,5;3,9;45,7;0,4;45,3
1551 Eide;1551;Eide;3471;237;3234;14;3220;100;6,8;93,2;0,4;92,8;1778;125;1653;7;1646;51,2;3,6;47,6;0,2;47,4;1693;112;1581;7;1574;48,8;3,2;45,5;0,2;45,3
1554 Averõy;1554;Averõy;5687;429;5258;30;5228;100;7,5;92,5;0,5;91,9;2919;218;2701;16;2685;51,3;3,8;47,5;0,3;47,2;2768;211;2557;14;2543;48,7;3,7;45;0,2;44,7
1557 Gjemnes;1557;Gjemnes;2565;169;2396;19;2377;100;6,6;93,4;0,7;92,7;1306;88;1218;9;1209;50,9;3,4;47,5;0,4;47,1;1259;81;1178;10;1168;49,1;3,2;45,9;0,4;45,5
1560 Tingvoll;1560;Tingvoll;3064;237;2827;26;2801;100;7,7;92,3;0,8;91,4;1557;123;1434;14;1420;50,8;4;46,8;0,5;46,3;1507;114;1393;12;1381;49,2;3,7;45,5;0,4;45,1
1563 Sunndal;1563;Sunndal;7171;569;6602;54;6548;100;7,9;92,1;0,8;91,3;3600;293;3307;31;3276;50,2;4,1;46,1;0,4;45,7;3571;276;3295;23;3272;49,8;3,8;45,9;0,3;45,6
1566 Surnadal;1566;Surnadal;5954;234;5720;17;5703;100;3,9;96,1;0,3;95,8;3040;113;2927;6;2921;51,1;1,9;49,2;0,1;49,1;2914;121;2793;11;2782;48,9;2;46,9;0,2;46,7
1567 Rindal;1567;Rindal;2046;28;2018;3;2015;100;1,4;98,6;0,1;98,5;1019;14;1005;3;1004;49,8;0,7;49,1;0,1;49,1;1027;14;1013;0;1013;50,2;0,7;49,5;0;49,5
1571 Halsa;1571;Halsa;1581;67;1514;3;1511;100;4,2;95,8;0,2;95,6;794;31;763;3;760;50,2;2;48,3;0,2;48,1;787;36;751;0;751;49,8;2,3;47,5;0;47,5
1573 Smõla;1573;Smõla;2166;170;1996;6;1990;100;7,8;92,2;0,3;91,9;1092;85;1007;0;1005;50,4;3,9;46,5;0;46,4;1074;85;989;6;985;49,6;3,9;45,7;0,3;45,5
1576 Aure;1576;Aure;3577;318;3259;12;3247;100;8,9;91,1;0,3;90,8;1843;161;1682;3;1679;51,5;4,5;47;0,1;46,9;1734;157;1577;9;1568;48,5;4,4;44,1;0,3;43,8
1601 Trondheim;1601;Trondheim;182035;20046;161989;3268;158721;100;11;89;1,8;87,2;91993;10809;81184;1698;79486;50,5;5,9;44,6;0,9;43,7;90042;9237;80805;1570;79235;49,5;5,1;44,4;0,9;43,5
1612 Hemne;1612;Hemne;4224;224;4000;14;3986;100;5,3;94,7;0,3;94,4;2111;113;1998;8;1990;50;2,7;47,3;0,2;47,1;2113;111;2002;6;1996;50;2,6;47,4;0,1;47,3
1613 Snillfjord;1613;Snillfjord;980;43;937;3;934;100;4,4;95,6;0,3;95,3;540;26;514;3;513;55,1;2,7;52,4;0,3;52,3;440;17;423;0;423;44,9;1,7;43,2;0;43,2
1617 Hitra;1617;Hitra;4522;754;3768;51;3717;100;16,7;83,3;1,1;82,2;2368;439;1929;32;1897;52,4;9,7;42,7;0,7;42;2154;315;1839;19;1820;47,6;7;40,7;0,4;40,2
1620 Frõya;1620;Frõya;4547;764;3783;62;3721;100;16,8;83,2;1,4;81,8;2344;417;1927;35;1892;51,6;9,2;42,4;0,8;41,6;2203;347;1856;27;1829;48,4;7,6;40,8;0,6;40,2
1621 ùrland;1621;ùrland;5164;243;4921;6;4915;100;4,7;95,3;0,1;95,2;2596;111;2485;0;2483;50,3;2,1;48,1;0;48,1;2568;132;2436;6;2432;49,7;2,6;47,2;0,1;47,1
1622 Agdenes;1622;Agdenes;1744;127;1617;4;1613;100;7,3;92,7;0,2;92,5;887;63;824;4;820;50,9;3,6;47,2;0,2;47;857;64;793;0;793;49,1;3,7;45,5;0;45,5
1624 Rissa;1624;Rissa;6646;497;6149;20;6129;100;7,5;92,5;0,3;92,2;3447;311;3136;10;3126;51,9;4,7;47,2;0,2;47;3199;186;3013;10;3003;48,1;2,8;45,3;0,2;45,2
1627 Bjugn;1627;Bjugn;4711;232;4479;15;4464;100;4,9;95,1;0,3;94,8;2362;110;2252;9;2243;50,1;2,3;47,8;0,2;47,6;2349;122;2227;6;2221;49,9;2,6;47,3;0,1;47,1
1630 èfjord;1630;èfjord;3242;95;3147;4;3143;100;2,9;97,1;0,1;96,9;1652;44;1608;4;1606;51;1,4;49,6;0,1;49,5;1590;51;1539;0;1537;49;1,6;47,5;0;47,4
1632 Roan;1632;Roan;986;70;916;6;910;100;7,1;92,9;0,6;92,3;501;36;465;0;464;50,8;3,7;47,2;0;47,1;485;34;451;6;446;49,2;3,4;45,7;0,6;45,2
1633 Osen;1633;Osen;997;26;971;3;968;100;2,6;97,4;0,3;97,1;526;15;511;0;511;52,8;1,5;51,3;0;51,3;471;11;460;3;459;47,2;1,1;46,1;0,3;46
1634 Oppdal;1634;Oppdal;6814;485;6329;45;6284;100;7,1;92,9;0,7;92,2;3389;255;3134;21;3113;49,7;3,7;46;0,3;45,7;3425;230;3195;24;3171;50,3;3,4;46,9;0,4;46,5
1635 Rennebu;1635;Rennebu;2556;86;2470;5;2465;100;3,4;96,6;0,2;96,4;1311;43;1268;5;1265;51,3;1,7;49,6;0,2;49,5;1245;43;1202;0;1200;48,7;1,7;47;0;46,9
1636 Meldal;1636;Meldal;3962;191;3771;19;3752;100;4,8;95,2;0,5;94,7;1988;108;1880;9;1871;50,2;2,7;47,5;0,2;47,2;1974;83;1891;10;1881;49,8;2,1;47,7;0,3;47,5
1638 Orkdal;1638;Orkdal;11628;716;10912;87;10825;100;6,2;93,8;0,7;93,1;5842;348;5494;49;5445;50,2;3;47,2;0,4;46,8;5786;368;5418;38;5380;49,8;3,2;46,6;0,3;46,3
1640 Rõros;1640;Rõros;5583;344;5239;42;5197;100;6,2;93,8;0,8;93,1;2749;161;2588;21;2567;49,2;2,9;46,4;0,4;46;2834;183;2651;21;2630;50,8;3,3;47,5;0,4;47,1
1644 HoltÜlen;1644;HoltÜlen;2024;87;1937;8;1929;100;4,3;95,7;0,4;95,3;1000;40;960;5;955;49,4;2;47,4;0,2;47,2;1024;47;977;3;974;50,6;2,3;48,3;0,1;48,1
1648 Midtre Gauldal;1648;Midtre Gauldal;6361;715;5646;51;5595;100;11,2;88,8;0,8;88;3192;361;2831;25;2806;50,2;5,7;44,5;0,4;44,1;3169;354;2815;26;2789;49,8;5,6;44,3;0,4;43,8
1653 Melhus;1653;Melhus;15844;902;14942;97;14845;100;5,7;94,3;0,6;93,7;8063;502;7561;56;7505;50,9;3,2;47,7;0,4;47,4;7781;400;7381;41;7340;49,1;2,5;46,6;0,3;46,3
1657 Skaun;1657;Skaun;7392;301;7091;41;7050;100;4,1;95,9;0,6;95,4;3826;157;3669;26;3643;51,8;2,1;49,6;0,4;49,3;3566;144;3422;15;3407;48,2;1,9;46,3;0,2;46,1
1662 Klëbu;1662;Klëbu;5970;375;5595;46;5549;100;6,3;93,7;0,8;92,9;3042;205;2837;21;2816;51;3,4;47,5;0,4;47,2;2928;170;2758;25;2733;49;2,8;46,2;0,4;45,8
