Kommune nr & navn;kommune_nr;Kommunenavn;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf
1663 Malvik;1663;Malvik;13371;964;12407;91;12316;100;7,2;92,8;0,7;92,1;6815;531;6284;42;6242;51;4;47;0,3;46,7;6556;433;6123;49;6074;49;3,2;45,8;0,4;45,4
1664 Selbu;1664;Selbu;4030;175;3855;8;3847;100;4,3;95,7;0,2;95,5;2083;89;1994;8;1988;51,7;2,2;49,5;0,2;49,3;1947;86;1861;0;1859;48,3;2,1;46,2;0;46,1
1665 Tydal;1665;Tydal;864;36;828;6;822;100;4,2;95,8;0,7;95,1;421;12;409;6;405;48,7;1,4;47,3;0,7;46,9;443;24;419;0;417;51,3;2,8;48,5;0;48,3
1702 Steinkjer;1702;Steinkjer;21555;1266;20289;131;20158;100;5,9;94,1;0,6;93,5;10822;677;10145;68;10077;50,2;3,1;47,1;0,3;46,8;10733;589;10144;63;10081;49,8;2,7;47,1;0,3;46,8
1703 Namsos;1703;Namsos;13083;872;12211;128;12083;100;6,7;93,3;1;92,4;6487;410;6077;69;6008;49,6;3,1;46,4;0,5;45,9;6596;462;6134;59;6075;50,4;3,5;46,9;0,5;46,4
1711 MerÜker;1711;MerÜker;2553;236;2317;14;2303;100;9,2;90,8;0,5;90,2;1280;114;1166;8;1158;50,1;4,5;45,7;0,3;45,4;1273;122;1151;6;1145;49,9;4,8;45,1;0,2;44,8
1714 Stjõrdal;1714;Stjõrdal;22683;1382;21301;153;21148;100;6,1;93,9;0,7;93,2;11344;664;10680;71;10609;50;2,9;47,1;0,3;46,8;11339;718;10621;82;10539;50;3,2;46,8;0,4;46,5
1717 Frosta;1717;Frosta;2653;175;2478;11;2467;100;6,6;93,4;0,4;93;1329;85;1244;6;1238;50,1;3,2;46,9;0,2;46,7;1324;90;1234;5;1229;49,9;3,4;46,5;0,2;46,3
1718 Leksvik;1718;Leksvik;3555;200;3355;12;3343;100;5,6;94,4;0,3;94;1768;99;1669;7;1662;49,7;2,8;46,9;0,2;46,8;1787;101;1686;5;1681;50,3;2,8;47,4;0,1;47,3
1719 Levanger;1719;Levanger;19212;1275;17937;130;17807;100;6,6;93,4;0,7;92,7;9566;651;8915;68;8847;49,8;3,4;46,4;0,4;46;9646;624;9022;62;8960;50,2;3,2;47;0,3;46,6
1721 Verdal;1721;Verdal;14788;908;13880;85;13795;100;6,1;93,9;0,6;93,3;7544;556;6988;38;6950;51;3,8;47,3;0,3;47;7244;352;6892;47;6845;49;2,4;46,6;0,3;46,3
1724 Verran;1724;Verran;2562;245;2317;16;2301;100;9,6;90,4;0,6;89,8;1333;169;1164;8;1156;52;6,6;45,4;0,3;45,1;1229;76;1153;8;1145;48;3;45;0,3;44,7
1725 Namdalseid;1725;Namdalseid;1676;65;1611;3;1608;100;3,9;96,1;0,2;95,9;860;27;833;3;831;51,3;1,6;49,7;0,2;49,6;816;38;778;0;777;48,7;2,3;46,4;0;46,4
1736 SnÜsa;1736;SnÜsa;2156;74;2082;7;2075;100;3,4;96,6;0,3;96,2;1101;28;1073;4;1069;51,1;1,3;49,8;0,2;49,6;1055;46;1009;3;1006;48,9;2,1;46,8;0,1;46,7
1738 Lierne;1738;Lierne;1385;80;1305;5;1300;100;5,8;94,2;0,4;93,9;711;29;682;5;677;51,3;2,1;49,2;0,4;48,9;674;51;623;0;623;48,7;3,7;45;0;45
1739 Rõyrvik;1739;Rõyrvik;498;35;463;3;460;100;7;93;0,6;92,4;253;17;236;3;235;50,8;3,4;47,4;0,6;47,2;245;18;227;0;227;49,2;3,6;45,6;0;45,6
1740 Namsskogan;1740;Namsskogan;922;37;885;3;882;100;4;96;0,3;95,7;463;11;452;3;451;50,2;1,2;49;0,3;48,9;459;26;433;0;433;49,8;2,8;47;0;47
1742 Grong;1742;Grong;2449;241;2208;16;2192;100;9,8;90,2;0,7;89,5;1263;149;1114;9;1105;51,6;6,1;45,5;0,4;45,1;1186;92;1094;7;1087;48,4;3,8;44,7;0,3;44,4
1743 Hõylandet;1743;Hõylandet;1257;41;1216;5;1211;100;3,3;96,7;0,4;96,3;631;20;611;5;607;50,2;1,6;48,6;0,4;48,3;626;21;605;0;604;49,8;1,7;48,1;0;48,1
1744 Overhalla;1744;Overhalla;3732;191;3541;22;3519;100;5,1;94,9;0,6;94,3;1905;103;1802;15;1787;51;2,8;48,3;0,4;47,9;1827;88;1739;7;1732;49;2,4;46,6;0,2;46,4
1748 Fosnes;1748;Fosnes;642;47;595;6;589;100;7,3;92,7;0,9;91,7;324;21;303;6;299;50,5;3,3;47,2;0,9;46,6;318;26;292;0;290;49,5;4;45,5;0;45,2
1749 Flatanger;1749;Flatanger;1120;90;1030;4;1026;100;8;92;0,4;91,6;582;46;536;0;534;52;4,1;47,9;0;47,7;538;44;494;4;492;48;3,9;44,1;0,4;43,9
1750 Vikna;1750;Vikna;4321;330;3991;26;3965;100;7,6;92,4;0,6;91,8;2177;166;2011;17;1994;50,4;3,8;46,5;0,4;46,1;2144;164;1980;9;1971;49,6;3,8;45,8;0,2;45,6
1751 Nërõy;1751;Nërõy;5064;297;4767;20;4747;100;5,9;94,1;0,4;93,7;2617;146;2471;9;2462;51,7;2,9;48,8;0,2;48,6;2447;151;2296;11;2285;48,3;3;45,3;0,2;45,1
1755 Leka;1755;Leka;556;29;527;0;527;100;5,2;94,8;0;94,8;270;7;263;0;263;48,6;1,3;47,3;0;47,3;286;22;264;0;264;51,4;4;47,5;0;47,5
1756 Inderõy (f.o.m. 2012);1756;Inderõy (f.o.m. 2012);6720;295;6425;16;6409;100;4,4;95,6;0,2;95,4;3352;147;3205;3;3202;49,9;2,2;47,7;0;47,6;3368;148;3220;13;3207;50,1;2,2;47,9;0,2;47,7
1804 Bodõ;1804;Bodõ;49731;3722;46009;400;45609;100;7,5;92,5;0,8;91,7;24960;1938;23022;196;22826;50,2;3,9;46,3;0,4;45,9;24771;1784;22987;204;22783;49,8;3,6;46,2;0,4;45,8
1805 Narvik;1805;Narvik;18705;1815;16890;142;16748;100;9,7;90,3;0,8;89,5;9432;986;8446;80;8366;50,4;5,3;45,2;0,4;44,7;9273;829;8444;62;8382;49,6;4,4;45,1;0,3;44,8
1811 Bindal;1811;Bindal;1503;43;1460;3;1457;100;2,9;97,1;0,2;96,9;769;23;746;0;745;51,2;1,5;49,6;0;49,6;734;20;714;3;713;48,8;1,3;47,5;0,2;47,4
1812 Sõmna;1812;Sõmna;2047;114;1933;5;1928;100;5,6;94,4;0,2;94,2;1027;51;976;0;974;50,2;2,5;47,7;0;47,6;1020;63;957;5;954;49,8;3,1;46,8;0,2;46,6
1813 Brõnnõy;1813;Brõnnõy;7897;483;7414;54;7360;100;6,1;93,9;0,7;93,2;3883;214;3669;32;3637;49,2;2,7;46,5;0,4;46,1;4014;269;3745;22;3723;50,8;3,4;47,4;0,3;47,1
1815 Vega;1815;Vega;1223;45;1178;3;1175;100;3,7;96,3;0,2;96,1;625;16;609;3;608;51,1;1,3;49,8;0,2;49,7;598;29;569;0;569;48,9;2,4;46,5;0;46,5
1816 Vevelstad;1816;Vevelstad;495;32;463;3;460;100;6,5;93,5;0,6;92,9;257;16;241;3;239;51,9;3,2;48,7;0,6;48,3;238;16;222;0;221;48,1;3,2;44,8;0;44,6
1818 Herõy (Nordl.);1818;Herõy (Nordl.);1733;207;1526;16;1510;100;11,9;88,1;0,9;87,1;901;120;781;9;772;52;6,9;45,1;0,5;44,5;832;87;745;7;738;48;5;43;0,4;42,6
1820 Alstahaug;1820;Alstahaug;7394;652;6742;61;6681;100;8,8;91,2;0,8;90,4;3714;340;3374;36;3338;50,2;4,6;45,6;0,5;45,1;3680;312;3368;25;3343;49,8;4,2;45,6;0,3;45,2
1822 Leirfjord;1822;Leirfjord;2188;187;2001;20;1981;100;8,5;91,5;0,9;90,5;1136;88;1048;12;1036;51,9;4;47,9;0,5;47,3;1052;99;953;8;945;48,1;4,5;43,6;0,4;43,2
1824 Vefsn;1824;Vefsn;13286;690;12596;69;12527;100;5,2;94,8;0,5;94,3;6762;371;6391;37;6354;50,9;2,8;48,1;0,3;47,8;6524;319;6205;32;6173;49,1;2,4;46,7;0,2;46,5
1825 Grane;1825;Grane;1465;82;1383;5;1378;100;5,6;94,4;0,3;94,1;779;36;743;0;742;53,2;2,5;50,7;0;50,6;686;46;640;5;636;46,8;3,1;43,7;0,3;43,4
1826 Hattfjelldal;1826;Hattfjelldal;1500;141;1359;13;1346;100;9,4;90,6;0,9;89,7;789;76;713;7;706;52,6;5,1;47,5;0,5;47,1;711;65;646;6;640;47,4;4,3;43,1;0,4;42,7
1827 Dõnna;1827;Dõnna;1420;72;1348;3;1345;100;5,1;94,9;0,2;94,7;731;42;689;3;686;51,5;3;48,5;0,2;48,3;689;30;659;0;659;48,5;2,1;46,4;0;46,4
1828 Nesna;1828;Nesna;1902;287;1615;25;1590;100;15,1;84,9;1,3;83,6;965;173;792;14;778;50,7;9,1;41,6;0,7;40,9;937;114;823;11;812;49,3;6;43,3;0,6;42,7
1832 Hemnes;1832;Hemnes;4553;223;4330;19;4311;100;4,9;95,1;0,4;94,7;2340;104;2236;10;2226;51,4;2,3;49,1;0,2;48,9;2213;119;2094;9;2085;48,6;2,6;46;0,2;45,8
1833 Rana;1833;Rana;25943;1410;24533;111;24422;100;5,4;94,6;0,4;94,1;13073;756;12317;70;12247;50,4;2,9;47,5;0,3;47,2;12870;654;12216;41;12175;49,6;2,5;47,1;0,2;46,9
1834 Lurõy;1834;Lurõy;1901;101;1800;6;1794;100;5,3;94,7;0,3;94,4;982;41;941;6;937;51,7;2,2;49,5;0,3;49,3;919;60;859;0;857;48,3;3,2;45,2;0;45,1
1835 Trëna;1835;Trëna;489;88;401;12;389;100;18;82;2,5;79,6;261;49;212;6;206;53,4;10;43,4;1,2;42,1;228;39;189;6;183;46,6;8;38,7;1,2;37,4
1836 Rõdõy;1836;Rõdõy;1305;62;1243;10;1233;100;4,8;95,2;0,8;94,5;671;24;647;4;643;51,4;1,8;49,6;0,3;49,3;634;38;596;6;590;48,6;2,9;45,7;0,5;45,2
1837 Melõy;1837;Melõy;6491;380;6111;11;6100;100;5,9;94,1;0,2;94;3270;174;3096;6;3090;50,4;2,7;47,7;0,1;47,6;3221;206;3015;5;3010;49,6;3,2;46,4;0,1;46,4
1838 GildeskÜl;1838;GildeskÜl;2023;198;1825;11;1814;100;9,8;90,2;0,5;89,7;1018;100;918;6;912;50,3;4,9;45,4;0,3;45,1;1005;98;907;5;902;49,7;4,8;44,8;0,2;44,6
1839 Beiarn;1839;Beiarn;1088;43;1045;3;1042;100;4;96;0,3;95,8;557;14;543;0;542;51,2;1,3;49,9;0;49,8;531;29;502;3;500;48,8;2,7;46,1;0,3;46
1840 Saltdal;1840;Saltdal;4690;315;4375;34;4341;100;6,7;93,3;0,7;92,6;2388;183;2205;18;2187;50,9;3,9;47;0,4;46,6;2302;132;2170;16;2154;49,1;2,8;46,3;0,3;45,9
1841 Fauske;1841;Fauske;9556;504;9052;49;9003;100;5,3;94,7;0,5;94,2;4766;245;4521;18;4503;49,9;2,6;47,3;0,2;47,1;4790;259;4531;31;4500;50,1;2,7;47,4;0,3;47,1
1845 Sõrfold;1845;Sõrfold;1987;96;1891;3;1888;100;4,8;95,2;0,2;95;1018;44;974;3;972;51,2;2,2;49;0,2;48,9;969;52;917;0;916;48,8;2,6;46,1;0;46,1
1848 Steigen;1848;Steigen;2579;195;2384;13;2371;100;7,6;92,4;0,5;91,9;1305;101;1204;7;1197;50,6;3,9;46,7;0,3;46,4;1274;94;1180;6;1174;49,4;3,6;45,8;0,2;45,5
1849 Hamarõy;1849;Hamarõy;1820;208;1612;19;1593;100;11,4;88,6;1;87,5;928;114;814;11;803;51;6,3;44,7;0,6;44,1;892;94;798;8;790;49;5,2;43,8;0,4;43,4
1850 Tysfjord;1850;Tysfjord;2000;127;1873;7;1866;100;6,3;93,6;0,3;93,3;1072;62;1010;7;1005;53,6;3,1;50,5;0,3;50,3;928;65;863;0;861;46,4;3,3;43,1;0;43
1851 Lõdingen;1851;Lõdingen;2248;286;1962;16;1946;100;12,7;87,3;0,7;86,6;1129;148;981;7;974;50,2;6,6;43,6;0,3;43,3;1119;138;981;9;972;49,8;6,1;43,6;0,4;43,2
1852 Tjeldsund;1852;Tjeldsund;1256;45;1211;0;1211;100;3,6;96,4;0;96,4;638;15;623;0;623;50,8;1,2;49,6;0;49,6;618;30;588;0;588;49,2;2,4;46,8;0;46,8
1853 Evenes;1853;Evenes;1391;101;1290;3;1287;100;7,3;92,7;0,2;92,5;694;50;644;0;643;49,9;3,6;46,3;0;46,2;697;51;646;3;644;50,1;3,7;46,4;0,2;46,3
1854 Ballangen;1854;Ballangen;2591;156;2435;15;2420;100;6;94;0,6;93,4;1302;66;1236;6;1230;50,3;2,5;47,7;0,2;47,5;1289;90;1199;9;1190;49,7;3,5;46,3;0,3;45,9
1856 Rõst;1856;Rõst;566;39;527;4;523;100;6,9;93,1;0,7;92,4;289;17;272;4;270;51,1;3;48,1;0,7;47,7;277;22;255;0;253;48,9;3,9;45,1;0;44,7
1857 Vërõy;1857;Vërõy;777;102;675;3;672;100;13,1;86,9;0,4;86,5;384;53;331;0;331;49,4;6,8;42,6;0;42,6;393;49;344;3;343;50,6;6,3;44,3;0,4;44,1
1859 Flakstad;1859;Flakstad;1368;83;1285;7;1278;100;6,1;93,9;0,5;93,4;689;36;653;4;649;50,4;2,6;47,7;0,3;47,4;679;47;632;3;629;49,6;3,4;46,2;0,2;46
1860 VestvÜgõy;1860;VestvÜgõy;10997;825;10172;66;10106;100;7,5;92,5;0,6;91,9;5450;411;5039;37;5002;49,6;3,7;45,8;0,3;45,5;5547;414;5133;29;5104;50,4;3,8;46,7;0,3;46,4
1865 VÜgan;1865;VÜgan;9223;986;8237;78;8159;100;10,7;89,3;0,8;88,5;4647;527;4120;48;4072;50,4;5,7;44,7;0,5;44,2;4576;459;4117;30;4087;49,6;5;44,6;0,3;44,3
1866 Hadsel;1866;Hadsel;8112;741;7371;76;7295;100;9,1;90,9;0,9;89,9;4117;379;3738;35;3703;50,8;4,7;46,1;0,4;45,6;3995;362;3633;41;3592;49,2;4,5;44,8;0,5;44,3
1867 Bõ (Nordl.);1867;Bõ (Nordl.);2642;177;2465;9;2456;100;6,7;93,3;0,3;93;1305;81;1224;5;1219;49,4;3,1;46,3;0,2;46,1;1337;96;1241;4;1237;50,6;3,6;47;0,2;46,8
1868 ùksnes;1868;ùksnes;4562;420;4142;25;4117;100;9,2;90,8;0,5;90,2;2278;195;2083;15;2068;49,9;4,3;45,7;0,3;45,3;2284;225;2059;10;2049;50,1;4,9;45,1;0,2;44,9
1870 Sortland;1870;Sortland;10129;675;9454;62;9392;100;6,7;93,3;0,6;92,7;5118;338;4780;34;4746;50,5;3,3;47,2;0,3;46,9;5011;337;4674;28;4646;49,5;3,3;46,1;0,3;45,9
1871 Andõy;1871;Andõy;4993;382;4611;25;4586;100;7,7;92,3;0,5;91,8;2518;188;2330;13;2317;50,4;3,8;46,7;0,3;46,4;2475;194;2281;12;2269;49,6;3,9;45,7;0,2;45,4
1874 Moskenes;1874;Moskenes;1108;148;960;5;955;100;13,4;86,6;0,5;86,2;598;89;509;5;506;54;8;45,9;0,5;45,7;510;59;451;0;449;46;5,3;40,7;0;40,5
1902 Tromsõ;1902;Tromsõ;71590;7479;64111;697;63414;100;10,4;89,6;1;88,6;36112;3877;32235;376;31859;50,4;5,4;45;0,5;44,5;35478;3602;31876;321;31555;49,6;5;44,5;0,4;44,1
1903 Harstad;1901;Harstad;24441;1874;22567;184;22383;100;7,7;92,3;0,8;91,6;12181;949;11232;89;11143;49,8;3,9;46;0,4;45,6;12260;925;11335;95;11240;50,2;3,8;46,4;0,4;46
1911 Kvëfjord;1911;Kvëfjord;3107;288;2819;27;2792;100;9,3;90,7;0,9;89,9;1568;157;1411;20;1391;50,5;5,1;45,4;0,6;44,8;1539;131;1408;7;1401;49,5;4,2;45,3;0,2;45,1
1913 SkÜnland;1913;SkÜnland;2951;201;2750;13;2737;100;6,8;93,2;0,4;92,7;1484;108;1376;5;1371;50,3;3,7;46,6;0,2;46,5;1467;93;1374;8;1366;49,7;3,2;46,6;0,3;46,3
1917 Ibestad;1917;Ibestad;1436;102;1334;10;1324;100;7,1;92,9;0,7;92,2;735;61;674;5;669;51,2;4,2;46,9;0,3;46,6;701;41;660;5;655;48,8;2,9;46;0,3;45,6
1919 Gratangen;1919;Gratangen;1135;133;1002;5;997;100;11,7;88,3;0,4;87,8;588;66;522;5;519;51,8;5,8;46;0,4;45,7;547;67;480;0;478;48,2;5,9;42,3;0;42,1
1920 Lavangen;1920;Lavangen;1014;35;979;0;979;100;3,5;96,5;0;96,5;525;12;513;0;513;51,8;1,2;50,6;0;50,6;489;23;466;0;466;48,2;2,3;46;0;46
1922 Bardu;1922;Bardu;3985;259;3726;30;3696;100;6,5;93,5;0,8;92,7;2038;126;1912;19;1893;51,1;3,2;48;0,5;47,5;1947;133;1814;11;1803;48,9;3,3;45,5;0,3;45,2
1923 Salangen;1923;Salangen;2223;202;2021;10;2011;100;9,1;90,9;0,4;90,5;1140;107;1033;6;1027;51,3;4,8;46,5;0,3;46,2;1083;95;988;4;984;48,7;4,3;44,4;0,2;44,3
1924 MÜlselv;1924;MÜlselv;6634;361;6273;12;6261;100;5,4;94,6;0,2;94,4;3486;175;3311;8;3303;52,5;2,6;49,9;0,1;49,8;3148;186;2962;4;2958;47,5;2,8;44,6;0,1;44,6
1925 Sõrreisa;1925;Sõrreisa;3450;212;3238;13;3225;100;6,1;93,9;0,4;93,5;1738;96;1642;8;1634;50,4;2,8;47,6;0,2;47,4;1712;116;1596;5;1591;49,6;3,4;46,3;0,1;46,1
1926 Dyrõy;1926;Dyrõy;1171;42;1129;6;1123;100;3,6;96,4;0,5;95,9;584;12;572;0;570;49,9;1;48,8;0;48,7;587;30;557;6;553;50,1;2,6;47,6;0,5;47,2
1927 Tranõy;1927;Tranõy;1510;120;1390;8;1382;100;7,9;92,1;0,5;91,5;748;46;702;3;699;49,5;3;46,5;0,2;46,3;762;74;688;5;683;50,5;4,9;45,6;0,3;45,2
1928 Torsken;1928;Torsken;878;87;791;4;787;100;9,9;90,1;0,5;89,6;443;38;405;0;403;50,5;4,3;46,1;0;45,9;435;49;386;4;384;49,5;5,6;44;0,5;43,7
1929 Berg;1929;Berg;918;130;788;12;776;100;14,2;85,8;1,3;84,5;478;66;412;4;408;52,1;7,2;44,9;0,4;44,4;440;64;376;8;368;47,9;7;41;0,9;40,1
1931 Lenvik;1931;Lenvik;11557;811;10746;95;10651;100;7;93;0,8;92,2;5851;408;5443;40;5403;50,6;3,5;47,1;0,3;46,8;5706;403;5303;55;5248;49,4;3,5;45,9;0,5;45,4
1933 Balsfjord;1933;Balsfjord;5593;280;5313;16;5297;100;5;95;0,3;94,7;2884;130;2754;6;2748;51,6;2,3;49,2;0,1;49,1;2709;150;2559;10;2549;48,4;2,7;45,8;0,2;45,6
1936 Karlsõy;1936;Karlsõy;2334;212;2122;19;2103;100;9,1;90,9;0,8;90,1;1219;103;1116;9;1107;52,2;4,4;47,8;0,4;47,4;1115;109;1006;10;996;47,8;4,7;43,1;0,4;42,7
1938 Lyngen;1938;Lyngen;2992;134;2858;16;2842;100;4,5;95,5;0,5;95;1532;78;1454;7;1447;51,2;2,6;48,6;0,2;48,4;1460;56;1404;9;1395;48,8;1,9;46,9;0,3;46,6
1939 Storfjord;1939;Storfjord;1941;140;1801;6;1795;100;7,2;92,8;0,3;92,5;1003;64;939;3;936;51,7;3,3;48,4;0,2;48,2;938;76;862;3;859;48,3;3,9;44,4;0,2;44,3
1940 G†ivuotna KÜfjord;1940;G†ivuotna KÜfjord;2221;124;2097;4;2093;100;5,6;94,4;0,2;94,2;1160;62;1098;4;1096;52,2;2,8;49,4;0,2;49,3;1061;62;999;0;997;47,8;2,8;45;0;44,9
1941 Skjervõy;1941;Skjervõy;2881;227;2654;16;2638;100;7,9;92,1;0,6;91,6;1472;128;1344;9;1335;51,1;4,4;46,7;0,3;46,3;1409;99;1310;7;1303;48,9;3,4;45,5;0,2;45,2
1942 Nordreisa;1942;Nordreisa;4854;231;4623;11;4612;100;4,8;95,2;0,2;95;2480;104;2376;4;2372;51,1;2,1;48,9;0,1;48,9;2374;127;2247;7;2240;48,9;2,6;46,3;0,1;46,1
1943 Kvënangen;1943;Kvënangen;1234;50;1184;3;1181;100;4,1;95,9;0,2;95,7;646;20;626;0;626;52,4;1,6;50,7;0;50,7;588;30;558;3;557;47,6;2,4;45,2;0,2;45,1
2002 Vardõ;2002;Vardõ;2119;241;1878;11;1867;100;11,4;88,6;0,5;88,1;1109;138;971;7;964;52,3;6,5;45,8;0,3;45,5;1010;103;907;4;903;47,7;4,9;42,8;0,2;42,6
2003 Vadsõ;2003;Vadsõ;6223;1020;5203;65;5138;100;16,4;83,6;1;82,6;3183;542;2641;34;2607;51,1;8,7;42,4;0,5;41,9;3040;478;2562;31;2531;48,9;7,7;41,2;0,5;40,7
2004 Hammerfest;2004;Hammerfest;10287;1504;8783;162;8621;100;14,6;85,4;1,6;83,8;5268;823;4445;91;4354;51,2;8;43,2;0,9;42,3;5019;681;4338;71;4267;48,8;6,6;42,2;0,7;41,5
2011 Guovdageaidnu Kautokeino;2011;Guovdageaidnu Kautokeino;2931;157;2774;7;2767;100;5,4;94,6;0,2;94,4;1519;64;1455;7;1450;51,8;2,2;49,6;0,2;49,5;1412;93;1319;0;1317;48,2;3,2;45;0;44,9
2012 Alta;2012;Alta;19822;1573;18249;123;18126;100;7,9;92,1;0,6;91,4;10060;807;9253;57;9196;50,8;4,1;46,7;0,3;46,4;9762;766;8996;66;8930;49,2;3,9;45,4;0,3;45,1
2014 Loppa;2014;Loppa;1027;95;932;3;929;100;9,3;90,7;0,3;90,5;578;57;521;0;521;56,3;5,6;50,7;0;50,7;449;38;411;3;410;43,7;3,7;40;0,3;39,9
2015 Hasvik;2015;Hasvik;1037;184;853;9;844;100;17,7;82,3;0,9;81,4;556;106;450;0;448;53,6;10,2;43,4;0;43,2;481;78;403;9;396;46,4;7,5;38,9;0,9;38,2
2017 Kvalsund;2017;Kvalsund;1051;68;983;3;980;100;6,5;93,5;0,3;93,2;552;20;532;3;530;52,5;1,9;50,6;0,3;50,4;499;48;451;0;450;47,5;4,6;42,9;0;42,8
2018 MÜsõy;2018;MÜsõy;1241;171;1070;12;1058;100;13,8;86,2;1;85,3;663;94;569;6;563;53,4;7,6;45,9;0,5;45,4;578;77;501;6;495;46,6;6,2;40,4;0,5;39,9
2019 Nordkapp;2019;Nordkapp;3213;355;2858;29;2829;100;11;89;0,9;88;1679;166;1513;19;1494;52,3;5,2;47,1;0,6;46,5;1534;189;1345;10;1335;47,7;5,9;41,9;0,3;41,5
2020 Porsanger;2020;Porsanger Pors†ngu Porsanki;3963;280;3683;18;3665;100;7,1;92,9;0,5;92,5;1990;104;1886;9;1877;50,2;2,6;47,6;0,2;47,4;1973;176;1797;9;1788;49,8;4,4;45,3;0,2;45,1
2021 K†r†sjohka Karasjok;2021;K†r†sjohka Karasjok;2698;147;2551;6;2545;100;5,4;94,6;0,2;94,3;1401;49;1352;6;1348;51,9;1,8;50,1;0,2;50;1297;98;1199;0;1197;48,1;3,6;44,4;0;44,4
2022 Lebesby;2022;Lebesby;1341;138;1203;10;1193;100;10,3;89,7;0,7;89;717;51;666;4;662;53,5;3,8;49,7;0,3;49,4;624;87;537;6;531;46,5;6,5;40;0,4;39,6
2023 Gamvik;2023;Gamvik;1098;226;872;7;865;100;20,6;79,4;0,6;78,8;592;131;461;3;458;53,9;11,9;42;0,3;41,7;506;95;411;4;407;46,1;8,7;37,4;0,4;37,1
2024 BerlevÜg;2024;BerlevÜg;1057;114;943;4;939;100;10,8;89,2;0,4;88,8;545;54;491;0;490;51,6;5,1;46,5;0;46,4;512;60;452;4;449;48,4;5,7;42,8;0,4;42,5
2025 Deatnu Tana;2025;Deatnu Tana;2883;272;2611;11;2600;100;9,4;90,6;0,4;90,2;1519;123;1396;5;1391;52,7;4,3;48,4;0,2;48,2;1364;149;1215;6;1209;47,3;5,2;42,1;0,2;41,9
2027 Unjargga-Nesseby;2027;Unj†rga Nesseby;919;81;838;3;835;100;8,8;91,2;0,3;90,9;489;35;454;0;454;53,2;3,8;49,4;0;49,4;430;46;384;3;381;46,8;5;41,8;0,3;41,5
2028 BÜtsfjord;2028;BÜtsfjord;2207;475;1732;46;1686;100;21,5;78,5;2,1;76,4;1145;223;922;18;904;51,9;10,1;41,8;0,8;41;1062;252;810;28;782;48,1;11,4;36,7;1,3;35,4
2030 Sõr-Varanger;2030;Sõr-Varanger;10090;1305;8785;110;8675;100;12,9;87,1;1,1;86;5097;606;4491;46;4445;50,5;6;44,5;0,5;44,1;4993;699;4294;64;4230;49,5;6,9;42,6;0,6;41,9
