kommune;kommune_nr;kommune_navn;bosetting.anmodning;bosetting.anmodning;bosetting.bosatt;bosetting.bosatt;bosetting.vedtak;bosetting.vedtak;;;;;;;;
1223 Tysnes;1223;Tysnes;10;100;0;0;5;50,00;;;;;;;;
1224 Kvinnherad;1224;Kvinnherad;30;100;7;23,33333333;.;.;;;;;;;;
1227 Jondal;1227;Jondal;5;100;0;0;.;.;;;;;;;;
1228 Odda;1228;Odda;30;100;24;80;20;66,67;;;;;;;;
1231 Ullensvang;1231;Ullensvang;25;100;16;64;15;60,00;;;;;;;;
1232 Eidfjord;1232;Eidfjord;5;100;4;80;5;100,00;;;;;;;;
1233 Ulvik;1233;Ulvik;5;100;0;0;.;.;;;;;;;;
1234 Granvin;1234;Granvin;5;100;0;0;0;0,00;;;;;;;;
1235 Voss;1235;Voss;40;100;25;62,5;25;62,50;;;;;;;;
1238 Kvam;1238;Kvam;25;100;1;4;15;60,00;;;;;;;;
1241 Fusa;1241;Fusa;10;100;0;0;.;.;;;;;;;;
1242 Samnanger;1242;Samnanger;25;100;0;0;0;0,00;;;;;;;;
1243 Os (Hord.);1243;Os (Hord.);25;100;9;36;10;40,00;;;;;;;;
1244 Austevoll;1244;Austevoll;20;100;2;10;.;.;;;;;;;;
1245 Sund;1245;Sund;25;100;2;8;0;0,00;;;;;;;;
1246 Fjell;1246;Fjell;45;100;12;26,66666667;20;44,44;;;;;;;;
1247 Askøy;1247;Askøy;45;100;22;48,88888889;25;55,56;;;;;;;;
1251 Vaksdal;1251;Vaksdal;25;100;8;32;6;24,00;;;;;;;;
1252 Modalen;1252;Modalen;5;100;0;0;0;0,00;;;;;;;;
1253 Osterøy;1253;Osterøy;20;100;0;0;.;.;;;;;;;;
1256 Meland;1256;Meland;35;100;12;34,28571429;10;28,57;;;;;;;;
1259 Øygarden;1259;Øygarden;35;100;15;42,85714286;15;42,86;;;;;;;;
1260 Radøy;1260;Radøy;25;100;3;12;6;24,00;;;;;;;;
1263 Lindås;1263;Lindås;25;100;14;56;17;68,00;;;;;;;;
1264 Austrheim;1264;Austrheim;10;100;4;40;15;150,00;;;;;;;;
1265 Fedje;1265;Fedje;5;100;0;0;0;0,00;;;;;;;;
1266 Masfjorden;1266;Masfjorden;5;100;0;0;0;0,00;;;;;;;;
1401 Flora;1401;Flora;40;100;39;97,5;40;100,00;;;;;;;;
1411 Gulen;1411;Gulen;10;100;0;0;.;.;;;;;;;;
1412 Solund;1412;Solund;5;100;0;0;.;.;;;;;;;;
1413 Hyllestad;1413;Hyllestad;5;100;7;140;8;160,00;;;;;;;;
1416 Høyanger;1416;Høyanger;15;100;17;113,3333333;9;60,00;;;;;;;;
1417 Vik;1417;Vik;10;100;1;10;10;100,00;;;;;;;;
1418 Balestrand;1418;Balestrand;15;100;0;0;0;0,00;;;;;;;;
1419 Leikanger;1419;Leikanger;10;100;5;50;10;100,00;;;;;;;;
1420 Sogndal;1420;Sogndal;35;100;34;97,14285714;35;100,00;;;;;;;;
1421 Aurland;1421;Aurland;5;100;0;0;.;.;;;;;;;;
1422 Lærdal;1422;Lærdal;15;100;0;0;.;.;;;;;;;;
1424 Årdal;1424;Årdal;20;100;0;0;.;.;;;;;;;;
1426 Luster;1426;Luster;15;100;11;73,33333333;10;66,67;;;;;;;;
1428 Askvoll;1428;Askvoll;10;100;0;0;.;.;;;;;;;;
1429 Fjaler;1429;Fjaler;10;100;0;0;0;0,00;;;;;;;;
1430 Gaular;1430;Gaular;10;100;0;0;.;.;;;;;;;;
1431 Jølster;1431;Jølster;15;100;2;13,33333333;5;33,33;;;;;;;;
1432 Førde;1432;Førde;40;100;23;57,5;20;50,00;;;;;;;;
1433 Naustdal;1433;Naustdal;10;100;0;0;.;.;;;;;;;;
1438 Bremanger;1438;Bremanger;25;100;0;0;.;.;;;;;;;;
1439 Vågsøy;1439;Vågsøy;10;100;0;0;.;.;;;;;;;;
1441 Selje;1441;Selje;10;100;0;0;.;.;;;;;;;;
1443 Eid;1443;Eid;30;100;9;30;10;33,33;;;;;;;;
1444 Hornindal;1444;Hornindal;5;100;0;0;.;.;;;;;;;;
1445 Gloppen;1445;Gloppen;30;100;16;53,33333333;15;50,00;;;;;;;;
1449 Stryn;1449;Stryn;35;100;20;57,14285714;20;57,14;;;;;;;;
1502 Molde;1502;Molde;55;100;53;96,36363636;55;100,00;;;;;;;;
1504 Ålesund;1504;Ålesund;60;100;40;66,66666667;40;66,67;;;;;;;;
1505 Kristiansund;1505;Kristiansund;50;100;42;84;40;80,00;;;;;;;;
1511 Vanylven;1511;Vanylven;0;.;0;.;.;.;;;;;;;;
1514 Sande (M. og R.);1514;Sande (M. og R.);10;100;0;0;.;.;;;;;;;;
1515 Herøy (M. og R.);1515;Herøy (M. og R.);25;100;10;40;10;40,00;;;;;;;;
1516 Ulstein;1516;Ulstein;25;100;21;84;20;80,00;;;;;;;;
1517 Hareid;1517;Hareid;15;100;0;0;10;66,67;;;;;;;;
1519 Volda;1519;Volda;30;100;23;76,66666667;25;83,33;;;;;;;;
1520 Ørsta;1520;Ørsta;35;100;23;65,71428571;25;71,43;;;;;;;;
1523 Ørskog;1523;Ørskog;10;100;4;40;10;100,00;;;;;;;;
1524 Norddal;1524;Norddal;0;.;0;.;.;.;;;;;;;;
1525 Stranda;1525;Stranda;10;100;0;0;0;0,00;;;;;;;;
1526 Stordal;1526;Stordal;0;.;1;.;.;.;;;;;;;;
1528 Sykkylven;1528;Sykkylven;20;100;20;100;5;25,00;;;;;;;;
1529 Skodje;1529;Skodje;15;100;0;0;0;0,00;;;;;;;;
1531 Sula;1531;Sula;20;100;7;35;6;30,00;;;;;;;;
1532 Giske;1532;Giske;15;100;5;33,33333333;6;40,00;;;;;;;;
1534 Haram;1534;Haram;25;100;11;44;10;40,00;;;;;;;;
1535 Vestnes;1535;Vestnes;15;100;17;113,3333333;15;100,00;;;;;;;;
1539 Rauma;1539;Rauma;15;100;0;0;.;.;;;;;;;;
1543 Nesset;1543;Nesset;10;100;0;0;.;.;;;;;;;;
1545 Midsund;1545;Midsund;0;.;0;.;.;.;;;;;;;;
1546 Sandøy;1546;Sandøy;0;.;0;.;.;.;;;;;;;;
1547 Aukra;1547;Aukra;10;100;1;10;0;0,00;;;;;;;;
1548 Fræna;1548;Fræna;25;100;9;36;15;60,00;;;;;;;;
1551 Eide;1551;Eide;15;100;3;20;5;33,33;;;;;;;;
1554 Averøy;1554;Averøy;15;100;15;100;15;100,00;;;;;;;;
1557 Gjemnes;1557;Gjemnes;0;.;0;.;.;.;;;;;;;;
1560 Tingvoll;1560;Tingvoll;10;100;3;30;5;50,00;;;;;;;;
1563 Sunndal;1563;Sunndal;25;100;41;164;25;100,00;;;;;;;;
1566 Surnadal;1566;Surnadal;15;100;11;73,33333333;15;100,00;;;;;;;;
1567 Rindal;1567;Rindal;0;.;0;.;.;.;;;;;;;;
1571 Halsa;1571;Halsa;0;.;0;.;.;.;;;;;;;;
1573 Smøla;1573;Smøla;0;.;0;.;.;.;;;;;;;;
1576 Aure;1576;Aure;10;100;13;130;5;50,00;;;;;;;;
1601 Trondheim;1601;Trondheim;290;100;251;86,55172414;250;86,21;;;;;;;;
1612 Hemne;1612;Hemne;10;100;2;20;3;30,00;;;;;;;;
1613 Snillfjord;1613;Snillfjord;0;.;0;.;.;.;;;;;;;;
1617 Hitra;1617;Hitra;10;100;1;10;.;.;;;;;;;;
1620 Frøya;1620;Frøya;10;100;0;0;.;.;;;;;;;;
1621 Ørland;1621;Ørland;15;100;0;0;.;.;;;;;;;;
1622 Agdenes;1622;Agdenes;0;.;0;.;.;.;;;;;;;;
1624 Rissa;1624;Rissa;15;100;14;93,33333333;15;100,00;;;;;;;;
1627 Bjugn;1627;Bjugn;10;100;0;0;0;0,00;;;;;;;;
1630 Åfjord;1630;Åfjord;10;100;1;10;.;.;;;;;;;;
1632 Roan;1632;Roan;0;.;0;.;.;.;;;;;;;;
1633 Osen;1633;Osen;0;.;0;.;.;.;;;;;;;;
1634 Oppdal;1634;Oppdal;20;100;15;75;15;75,00;;;;;;;;
1635 Rennebu;1635;Rennebu;10;100;11;110;10;100,00;;;;;;;;
1636 Meldal;1636;Meldal;10;100;0;0;.;.;;;;;;;;
1638 Orkdal;1638;Orkdal;25;100;21;84;20;80,00;;;;;;;;
1640 Røros;1640;Røros;15;100;3;20;10;66,67;;;;;;;;
1644 Holtålen;1644;Holtålen;0;.;0;.;.;.;;;;;;;;
1648 Midtre Gauldal;1648;Midtre Gauldal;15;100;9;60;8;53,33;;;;;;;;
1653 Melhus;1653;Melhus;30;100;16;53,33333333;15;50,00;;;;;;;;
1657 Skaun;1657;Skaun;20;100;4;20;8;40,00;;;;;;;;
1662 Klæbu;1662;Klæbu;15;100;0;0;.;.;;;;;;;;
1663 Malvik;1663;Malvik;25;100;13;52;15;60,00;;;;;;;;
1664 Selbu;1664;Selbu;10;100;0;0;.;.;;;;;;;;
1665 Tydal;1665;Tydal;0;.;0;.;.;.;;;;;;;;
1702 Steinkjer;1702;Steinkjer;45;100;32;71,11111111;30;66,67;;;;;;;;
1703 Namsos;1703;Namsos;40;100;43;107,5;40;100,00;;;;;;;;
1711 Meråker;1711;Meråker;20;100;10;50;10;50,00;;;;;;;;
1714 Stjørdal;1714;Stjørdal;45;100;37;82,22222222;35;77,78;;;;;;;;
1717 Frosta;1717;Frosta;10;100;0;0;.;.;;;;;;;;
1718 Leksvik;1718;Leksvik;10;100;11;110;10;100,00;;;;;;;;
1719 Levanger;1719;Levanger;45;100;43;95,55555556;45;100,00;;;;;;;;
1721 Verdal;1721;Verdal;35;100;25;71,42857143;25;71,43;;;;;;;;
1724 Verran;1724;Verran;15;100;17;113,3333333;15;100,00;;;;;;;;
1725 Namdalseid;1725;Namdalseid;10;100;0;0;.;.;;;;;;;;
1736 Snåsa;1736;Snåsa;10;100;10;100;10;100,00;;;;;;;;
1738 Lierne;1738;Lierne;0;.;0;.;.;.;;;;;;;;
1739 Røyrvik;1739;Røyrvik;0;.;0;.;.;.;;;;;;;;
1740 Namsskogan;1740;Namsskogan;0;.;0;.;.;.;;;;;;;;
1742 Grong;1742;Grong;15;100;11;73,33333333;10;66,67;;;;;;;;
1743 Høylandet;1743;Høylandet;10;100;0;0;.;.;;;;;;;;
1744 Overhalla;1744;Overhalla;10;100;10;100;10;100,00;;;;;;;;
1748 Fosnes;1748;Fosnes;0;.;0;.;.;.;;;;;;;;
1749 Flatanger;1749;Flatanger;0;.;0;.;.;.;;;;;;;;
1750 Vikna;1750;Vikna;15;100;10;66,66666667;10;66,67;;;;;;;;
1751 Nærøy;1751;Nærøy;15;100;20;133,3333333;15;100,00;;;;;;;;
1755 Leka;1755;Leka;0;.;0;.;.;.;;;;;;;;
1756 Inderøy (f.o.m. 2012);1756;Inderøy (f.o.m. 2012);0;.;10;.;.;.;;;;;;;;
1804 Bodø;1804;Bodø;90;100;72;80;70;77,78;;;;;;;;
1805 Narvik;1805;Narvik;55;100;42;76,36363636;40;72,73;;;;;;;;
1811 Bindal;1811;Bindal;0;.;0;.;.;.;;;;;;;;
1812 Sømna;1812;Sømna;20;100;9;45;10;50,00;;;;;;;;
1813 Brønnøy;1813;Brønnøy;30;100;19;63,33333333;25;83,33;;;;;;;;
1815 Vega;1815;Vega;0;.;0;.;.;.;;;;;;;;
1816 Vevelstad;1816;Vevelstad;0;.;0;.;.;.;;;;;;;;
1818 Herøy (Nordl.);1818;Herøy (Nordl.);10;100;0;0;0;0,00;;;;;;;;
1820 Alstahaug;1820;Alstahaug;30;100;31;103,3333333;30;100,00;;;;;;;;
1822 Leirfjord;1822;Leirfjord;15;100;21;140;20;133,33;;;;;;;;
1824 Vefsn;1824;Vefsn;30;100;23;76,66666667;25;83,33;;;;;;;;
1825 Grane;1825;Grane;0;.;0;.;.;.;;;;;;;;
1826 Hattfjelldal;1826;Hattfjelldal;15;100;1;6,666666667;10;66,67;;;;;;;;
1827 Dønna;1827;Dønna;15;100;0;0;0;0,00;;;;;;;;
1828 Nesna;1828;Nesna;15;100;15;100;11;73,33;;;;;;;;
1832 Hemnes;1832;Hemnes;10;100;4;40;.;.;;;;;;;;
1833 Rana;1833;Rana;60;100;42;70;50;83,33;;;;;;;;
1834 Lurøy;1834;Lurøy;0;.;0;.;.;.;;;;;;;;
1835 Træna;1835;Træna;0;.;0;.;.;.;;;;;;;;
1836 Rødøy;1836;Rødøy;0;.;0;.;.;.;;;;;;;;
1837 Meløy;1837;Meløy;15;100;15;100;15;100,00;;;;;;;;
1838 Gildeskål;1838;Gildeskål;15;100;15;100;15;100,00;;;;;;;;
1839 Beiarn;1839;Beiarn;10;100;9;90;10;100,00;;;;;;;;
1840 Saltdal;1840;Saltdal;10;100;17;170;10;100,00;;;;;;;;
1841 Fauske;1841;Fauske;20;100;15;75;18;90,00;;;;;;;;
1845 Sørfold;1845;Sørfold;0;.;0;.;.;.;;;;;;;;
1848 Steigen;1848;Steigen;10;100;9;90;10;100,00;;;;;;;;
1849 Hamarøy;1849;Hamarøy;15;100;16;106,6666667;15;100,00;;;;;;;;
1850 Tysfjord;1850;Tysfjord;10;100;1;10;10;100,00;;;;;;;;
1851 Lødingen;1851;Lødingen;15;100;7;46,66666667;10;66,67;;;;;;;;
1852 Tjeldsund;1852;Tjeldsund;0;.;0;.;.;.;;;;;;;;
1853 Evenes;1853;Evenes;10;100;5;50;.;.;;;;;;;;
1854 Ballangen;1854;Ballangen;10;100;10;100;10;100,00;;;;;;;;
1856 Røst;1856;Røst;10;100;0;0;.;.;;;;;;;;
1857 Værøy;1857;Værøy;0;.;0;.;.;.;;;;;;;;
1859 Flakstad;1859;Flakstad;0;.;0;.;.;.;;;;;;;;
1860 Vestvågøy;1860;Vestvågøy;40;100;36;90;40;100,00;;;;;;;;
1865 Vågan;1865;Vågan;40;100;37;92,5;40;100,00;;;;;;;;
1866 Hadsel;1866;Hadsel;30;100;16;53,33333333;15;50,00;;;;;;;;
1867 Bø (Nordl.);1867;Bø (Nordl.);10;100;15;150;15;150,00;;;;;;;;
1868 Øksnes;1868;Øksnes;20;100;6;30;10;50,00;;;;;;;;
1870 Sortland;1870;Sortland;30;100;29;96,66666667;25;83,33;;;;;;;;
1871 Andøy;1871;Andøy;30;100;28;93,33333333;30;100,00;;;;;;;;
1874 Moskenes;1874;Moskenes;0;.;0;.;.;.;;;;;;;;
1902 Tromsø;1902;Tromsø;100;100;113;113;100;100,00;;;;;;;;
1903 Harstad;1903;Harstad;0;.;60;.;.;.;;;;;;;;
1911 Kvæfjord;1911;Kvæfjord;10;100;3;30;0;0,00;;;;;;;;
1913 Skånland;1913;Skånland;10;100;8;80;10;100,00;;;;;;;;
1917 Ibestad;1917;Ibestad;15;100;2;13,33333333;5;33,33;;;;;;;;
1919 Gratangen;1919;Gratangen;10;100;1;10;5;50,00;;;;;;;;
1920 Lavangen;1920;Lavangen;10;100;0;0;.;.;;;;;;;;
1922 Bardu;1922;Bardu;10;100;12;120;10;100,00;;;;;;;;
1923 Salangen;1923;Salangen;20;100;17;85;20;100,00;;;;;;;;
1924 Målselv;1924;Målselv;20;100;13;65;10;50,00;;;;;;;;
1925 Sørreisa;1925;Sørreisa;15;100;14;93,33333333;14;93,33;;;;;;;;
1926 Dyrøy;1926;Dyrøy;0;.;0;.;.;.;;;;;;;;
1927 Tranøy;1927;Tranøy;15;100;16;106,6666667;15;100,00;;;;;;;;
1928 Torsken;1928;Torsken;0;.;0;.;.;.;;;;;;;;
1929 Berg;1929;Berg;15;100;11;73,33333333;10;66,67;;;;;;;;
1931 Lenvik;1931;Lenvik;40;100;54;135;40;100,00;;;;;;;;
1933 Balsfjord;1933;Balsfjord;20;100;0;0;.;.;;;;;;;;
1936 Karlsøy;1936;Karlsøy;0;.;0;.;.;.;;;;;;;;
1938 Lyngen;1938;Lyngen;0;.;0;.;.;.;;;;;;;;
1939 Storfjord;1939;Storfjord;10;100;4;40;5;50,00;;;;;;;;
1940 Gáivuotna Kåfjord;1940;Gáivuotna Kåfjord;0;.;0;.;.;.;;;;;;;;
1941 Skjervøy;1941;Skjervøy;10;100;1;10;.;.;;;;;;;;
1942 Nordreisa;1942;Nordreisa;20;100;10;50;10;50,00;;;;;;;;
1943 Kvænangen;1943;Kvænangen;0;.;0;.;.;.;;;;;;;;
2002 Vardø;2002;Vardø;20;100;0;0;.;.;;;;;;;;
2003 Vadsø;2003;Vadsø;90;100;93;103,3333333;80;88,89;;;;;;;;
2004 Hammerfest;2004;Hammerfest;25;100;33;132;30;120,00;;;;;;;;
2011 Guovdageaidnu Kautokeino;2011;Guovdageaidnu Kautokeino;0;.;0;.;.;.;;;;;;;;
2012 Alta;2012;Alta;30;100;37;123,3333333;35;116,67;;;;;;;;
2014 Loppa;2014;Loppa;0;.;0;.;.;.;;;;;;;;
2015 Hasvik;2015;Hasvik;0;.;0;.;.;.;;;;;;;;
2017 Kvalsund;2017;Kvalsund;0;.;0;.;.;.;;;;;;;;
2018 Måsøy;2018;Måsøy;0;.;0;.;.;.;;;;;;;;
2019 Nordkapp;2019;Nordkapp;10;100;0;0;0;0,00;;;;;;;;
2020 Porsanger;2020;Porsanger Porsángu Porsanki;15;100;17;113,3333333;15;100,00;;;;;;;;
2021 Kárásjohka Karasjok;2021;Kárásjohka Karasjok;0;.;0;.;.;.;;;;;;;;
2022 Lebesby;2022;Lebesby;0;.;0;.;.;.;;;;;;;;
2023 Gamvik;2023;Gamvik;0;.;0;.;.;.;;;;;;;;
2024 Berlevåg;2024;Berlevåg;0;.;0;.;.;.;;;;;;;;
2025 Deatnu Tana;2025;Deatnu Tana;0;.;0;.;.;.;;;;;;;;
2027 Unjargga-Nesseby;2027;Unjárga Nesseby;0;.;8;.;10;.;;;;;;;;
2028 Båtsfjord;2028;Båtsfjord;10;100;0;0;0;0,00;;;;;;;;
2030 Sør-Varanger;2030;Sør-Varanger;35;100;35;100;35;100,00;;;;;;;;
